,thk_00,thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,thk_07,thk_08,rho_00,rho_01,rho_02,rho_03,rho_04,rho_05,rho_06,rho_07,rho_08,rho_09
dB/dt tg01,-0.00011426548878663435,-8.664168274576352e-05,-1.8746928496084366e-05,-9.28260640844977e-06,-1.3251606262681922e-06,-6.883044887821426e-09,-7.618911766244376e-13,-6.262562650885906e-15,-2.1188347647254573e-14,-7.357824831634793e-06,-1.2211172631161321e-05,-2.367951780867587e-05,1.3967269436294035e-05,1.1007378291205901e-05,7.382544952669319e-07,9.991726990000147e-09,1.0856153895611207e-11,1.5371793772552564e-13,1.383498470127372e-12
dB/dt tg02,-9.41584594468634e-05,-7.482007391934296e-05,-2.248611845853922e-05,-7.170950997339496e-06,-1.7283333298311156e-06,-1.7856682141264248e-08,-4.288580208568852e-12,-3.245297234872093e-15,-2.1208520073111982e-14,-5.0811365764962004e-06,-8.867185568955777e-06,-2.0850344667535576e-05,1.4724743098844552e-06,9.688692184987312e-06,1.1262232245378717e-06,2.9377134957779814e-08,6.533821484282188e-11,1.5596444948532402e-13,1.3831765918254056e-12
dB/dt tg03,-7.069902819478251e-05,-5.809120958201296e-05,-2.103062572087432e-05,-4.317200018799105e-06,-1.8817718535442108e-06,-4.121333418080583e-08,-2.958028285086841e-11,1.0168184451966548e-13,-2.1221199883650923e-14,-3.274977454375019e-06,-5.977042087955308e-06,-1.6512687096489755e-05,-7.525268984614008e-06,6.755829152321374e-06,1.4878669919853754e-06,8.10345055881641e-08,5.288609842998096e-10,2.605592181550616e-13,1.3827313410708285e-12
dB/dt tg04,-4.8245324420078376e-05,-4.050068821894074e-05,-1.613345750827688e-05,-1.5365305229588421e-06,-1.5575360474438005e-06,-7.318450328869372e-08,-1.5224710302006692e-10,3.083363130924504e-12,-2.142580591734748e-14,-1.9927513165966265e-06,-3.7792098598739314e-06,-1.1865334779494558e-05,-1.1357216946298225e-05,3.074548883071191e-06,1.5494699082339254e-06,1.7835681790039135e-07,3.351903656627535e-09,3.901185600405228e-12,1.3822664531784656e-12
dB/dt tg05,-3.3906589602560775e-05,-2.8739562221905046e-05,-1.1786777572440103e-05,5.941335074445426e-08,-1.0594505083043997e-06,-8.989842623481699e-08,-3.8563376898570734e-10,2.6196278601638665e-11,-2.168958440022577e-14,-1.3217738304206555e-06,-2.5684556780268327e-06,-8.706169992145305e-06,-1.13517265598484e-05,6.74708501145977e-07,1.2997369912150014e-06,2.631694444439331e-07,1.0547116097856097e-08,3.660934364878703e-11,1.3823854499645043e-12
dB/dt tg06,-2.458598390814196e-05,-2.0931441488646853e-05,-8.591898629672488e-06,9.022706942255048e-07,-6.206086841317515e-07,-9.061155273081589e-08,-6.189866872522895e-10,1.160814431696691e-10,-4.671688877690107e-14,-9.310750355660184e-07,-1.8403170017828587e-06,-6.563186554536395e-06,-1.019933030771048e-05,-6.830322814820967e-07,9.601798944361934e-07,3.109139509642579e-07,2.1908183674977e-08,1.826481460619628e-10,1.3974912648444125e-12
dB/dt tg07,-1.618146500108978e-05,-1.3804083554060996e-05,-5.54283659625023e-06,1.4092265372702474e-06,-1.790737468371683e-07,-7.523679883249346e-08,-6.842328374879853e-10,4.66923038284639e-10,-4.671032793553887e-13,-6.032022866492254e-07,-1.2130651998496204e-06,-4.544898007896657e-06,-8.239250974641252e-06,-1.5627089497830174e-06,5.15964916001891e-07,3.1757714136254325e-07,4.1452884613935625e-08,8.785168907551468e-10,1.7193176457917946e-12
dB/dt tg08,-9.729145177827875e-06,-8.290761346022189e-06,-3.158571139023189e-06,1.5022416270487869e-06,1.392605811794299e-07,-4.546666257937292e-08,1.0746518257225364e-11,1.4307540835050838e-09,-6.734249706666826e-12,-3.635460927203414e-07,-7.430054813956041e-07,-2.907917513085214e-06,-5.9750879540716e-06,-1.811418058021864e-06,1.0447056782445683e-07,2.575942457700116e-07,6.39844179892782e-08,3.320031935962622e-09,7.449544110149693e-12
dB/dt tg09,-6.217288527452586e-06,-5.2819025152885775e-06,-1.8836324421239006e-06,1.3563523256065942e-06,2.6570689974165214e-07,-2.0111880754541217e-08,1.2856124734724836e-09,2.646903656671507e-09,-3.6568658282474266e-11,-2.3577670085978556e-07,-4.872728946207504e-07,-1.9626094279193997e-06,-4.358031063412791e-06,-1.6659880401849762e-06,-1.1395309515662408e-07,1.761374080589404e-07,7.459317718018112e-08,7.408841057284168e-09,3.9937304945612986e-11
dB/dt tg10,-4.200733325824815e-06,-3.554990492238209e-06,-1.1786647231664903e-06,1.1631001308852479e-06,3.0046298825513884e-07,-2.8202955098875977e-09,2.503255228609309e-09,3.6411924558732147e-09,-1.1290440419931214e-10,-1.624481913289445e-07,-3.3841722689761403e-07,-1.3904333590014286e-06,-3.2517689704202916e-06,-1.4311896871324507e-06,-2.1392108267980165e-07,1.050025644875314e-07,7.432326694163186e-08,1.2105895759858522e-08,1.3705953029662168e-10
dB/dt tg11,-2.4931317249728747e-06,-2.0964059210929557e-06,-6.160978927965153e-07,8.934459208276596e-07,2.852250326054818e-07,1.159688989954958e-08,3.589265466544451e-09,4.322204698296163e-09,-3.314597133027104e-10,-9.958589019582687e-08,-2.0926242696059603e-07,-8.779446269841697e-07,-2.16513159083201e-06,-1.0921354688338997e-06,-2.5705309477007666e-07,2.8592040337358243e-08,6.234789283471912e-08,1.836968377364751e-08,4.816732778142262e-10
dB/dt tg12,-1.3933056894096587e-06,-1.1617887985301178e-06,-2.8741539701449924e-07,6.3030512714373e-07,2.3239173406974162e-07,1.7756227841700375e-08,3.564706083569747e-09,3.872940801487967e-09,-7.227685784360072e-10,-5.800034385972935e-08,-1.2280431584747973e-07,-5.244850795422144e-07,-1.3522349007736061e-06,-7.613450902700753e-07,-2.3817687662948365e-07,-2.420409971285189e-08,4.084866561881547e-08,2.2747562309941362e-08,1.2869222961475616e-09
dB/dt tg13,-8.486640418611564e-07,-7.021194920503273e-07,-1.4414156568059924e-07,4.527120723345689e-07,1.812935644041386e-07,1.7575026932005104e-08,2.6688808288343017e-09,2.7138194064723527e-09,-1.0756417826452362e-09,-3.6661977772731796e-08,-7.802084961600659e-08,-3.3717614329368177e-07,-8.951290830443385e-07,-5.411379424114237e-07,-1.9932957201618154e-07,-4.5640867978497456e-08,2.2297119013864936e-08,2.2925367824442307e-08,2.2884445576000666e-09
dB/dt tg14,-5.513093600749874e-07,-4.5288624664694853e-07,-7.597186978693567e-08,3.3260833518595466e-07,1.404813303517968e-07,1.5329923339397285e-08,1.6074766754753897e-09,1.5055405807326304e-09,-1.2897415617309776e-09,-2.4598250506580812e-08,-5.2535833667889805e-08,-2.289301343821098e-07,-6.204648321610197e-07,-3.943819114512543e-07,-1.6198377557795e-07,-5.1866785613924634e-08,8.921999948271073e-09,2.0509044957418777e-08,3.228372469542139e-09
dB/dt tg15,-3.163675585094151e-07,-2.5752101740555903e-07,-3.0847307988574535e-08,2.182379395404135e-07,9.697723648431147e-08,1.1479175017018028e-08,3.240108668124655e-10,1.2588128974299187e-10,-1.3489871980827073e-09,-1.4691690337327777e-08,-3.149079491677706e-08,-1.3838625190739378e-07,-3.8320244642975653e-07,-2.5667442336482343e-07,-1.1770852704599466e-07,-4.956770216285546e-08,-3.1511409422388967e-09,1.5080956623339127e-08,4.218684633204569e-09
dB/dt tg16,-1.7075096178266618e-07,-1.3762898438285128e-07,-9.432861910215278e-09,1.3306934816391684e-07,6.15638555862894e-08,7.523699859521095e-09,-6.046784206243462e-10,-8.259433989579392e-10,-1.1271866207277363e-09,-8.26212161782808e-09,-1.776019709230471e-08,-7.859830664672413e-08,-2.217466173965892e-07,-1.5557660154592345e-07,-7.849091076065793e-08,-4.0639229446123645e-08,-1.00745385630285e-08,8.139782254042368e-09,4.677298172740027e-09
dB/dt tg17,-1.0191736855966994e-07,-8.150896961570452e-08,-2.2928295764153694e-09,8.64105266965041e-08,4.099068778073315e-08,5.011188200897356e-09,-9.265165462386505e-10,-1.129663079670769e-09,-7.992272935224277e-10,-5.088244271989324e-09,-1.0955522670863768e-08,-4.869692246718279e-08,-1.390977522237346e-07,-1.0071482924643827e-07,-5.418855961692388e-08,-3.1923814154465585e-08,-1.1936292081269776e-08,3.0929775154093183e-09,4.446392983948329e-09
dB/dt tg18,-6.538697951858642e-08,-5.195976681375814e-08,2.522485493096366e-10,5.900778279590281e-08,2.848296200651303e-08,3.4590208500163097e-09,-9.536316766412228e-10,-1.1290167200286827e-09,-4.966516978562452e-10,-3.3467371995698064e-09,-7.212707324959876e-09,-3.215318394356142e-08,-9.265217495489675e-08,-6.864287495599919e-08,-3.8701802793314403e-08,-2.4952990626522437e-08,-1.1718006643901067e-08,-1.3753687753830694e-10,3.8807534122120935e-09
dB/dt tg19,-3.819544500655875e-08,-3.012905972330141e-08,1.2833413066471165e-09,3.6794623338708976e-08,1.807713886749163e-08,2.186923818050996e-09,-8.091604323522639e-10,-9.46764352157878e-10,-1.7687703470399046e-10,-2.010177882535099e-09,-4.335135621192984e-09,-1.9375494359942143e-08,-5.63162508507196e-08,-4.270600923431315e-08,-2.5255640951243003e-08,-1.7816343279408243e-08,-1.0223173877916772e-08,-2.5908189831297933e-09,2.9318121932843637e-09
dB/dt tg20,-2.017389979030709e-08,-1.5778318590715807e-08,1.3564588983742511e-09,2.080306848425281e-08,1.0411260734591949e-08,1.283289100793771e-09,-5.529643436224391e-10,-6.494297538342611e-10,7.941120917791597e-11,-1.0953424298990523e-09,-2.362944483862572e-09,-1.0583374156560107e-08,-3.101084785588045e-08,-2.4053710336851687e-08,-1.4903197400762033e-08,-1.145664969286059e-08,-7.824120757776686e-09,-3.752675807483851e-09,1.734911880987061e-09
dB/dt tg21,-1.1953385466267796e-08,-9.283449679721456e-09,1.128698371239297e-09,1.2972612768042698e-08,6.586066422316364e-09,8.457485714645452e-10,-3.603951191686836e-10,-4.2956220499463916e-10,1.8732389577853956e-10,-6.653619450669949e-10,-1.4353399934472792e-09,-6.4362544122474625e-09,-1.895815239330712e-08,-1.492961262229557e-08,-9.545715104700297e-09,-7.770237446727735e-09,-5.9183552312505936e-09,-3.758911136829967e-09,8.891686910168359e-10
dB/dt tg22,-7.622084337472596e-09,-5.882938002464561e-09,9.002890828264707e-10,8.627539994677702e-09,4.4336696130852825e-09,6.000171306762231e-10,-2.3158685051905896e-10,-2.823636537942868e-10,2.2285397891441205e-10,-4.3344399855007283e-10,-9.349053777366826e-10,-4.195213049310244e-09,-1.2403154137615843e-08,-9.87627126218777e-09,-6.462285692827797e-09,-5.483980874987177e-09,-4.509698115425836e-09,-3.395031190245977e-09,3.273001479743517e-10
dB/dt tg23,-4.389854022141224e-09,-3.3617066383620284e-09,6.48303300827491e-10,5.222224267752941e-09,2.7235257381515872e-09,3.9942162330554787e-10,-1.2155630208139934e-10,-1.554514967696851e-10,2.19433606887934e-10,-2.5628090096360384e-10,-5.526206096899406e-10,-2.481209720286801e-09,-7.362897920870507e-09,-5.929687324481615e-09,-3.973500876520957e-09,-3.5193072365443815e-09,-3.125616819533016e-09,-2.752045660064158e-09,-1.4550599320299499e-10
dB/dt tg24,-2.31082726739063e-09,-1.7527999262507866e-09,4.231943301306149e-10,2.9076173938628413e-09,1.5421447867817186e-09,2.508708566969897e-10,-4.778541741278349e-11,-6.839771073527503e-11,1.8243665059673004e-10,-1.3912379611476604e-10,-2.998676025141352e-10,-1.3468949775790152e-09,-4.010466655656858e-09,-3.264698211534666e-09,-2.2380240806205034e-09,-2.0643631372201438e-09,-1.9692652153566803e-09,-1.98629977174319e-09,-4.3568566311121294e-10
dB/dt tg25,-1.3545168091464847e-09,-1.019006828884346e-09,2.889466028502329e-10,1.7830374575994186e-09,9.585536312372167e-10,1.6999028757395952e-10,-1.6341831084672232e-11,-2.971927528216416e-11,1.4371680607721297e-10,-8.36615679478745e-11,-1.8025335716059124e-10,-8.097530333746555e-10,-2.4164770499181838e-09,-1.981523256457109e-09,-1.3797111485423543e-09,-1.3084366955689528e-09,-1.3095730944398801e-09,-1.4416425848185764e-09,-5.22500575837179e-10
dB/dt tg26,-8.594242942912763e-10,-6.419314776312184e-10,2.057087755477355e-10,1.174222924824278e-09,6.382476114855238e-10,1.2139208572506924e-10,-2.652269402938148e-12,-1.1811835091884573e-11,1.1244432933754075e-10,-5.424130249785502e-11,-1.168243859110581e-10,-5.24828600175868e-10,-1.5686432059903294e-09,-1.29307936925628e-09,-9.10613106684212e-10,-8.811369572723263e-10,-9.128808514603271e-10,-1.0684862945162489e-09,-5.252318258889311e-10
