time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
5.070000e-06,3.519506850e-03,3.600128000e-03,3.348224000e-07,5.400192000e-05,1.357004695e+01,nan
6.070000e-06,2.152085503e-03,2.116256000e-03,2.245881600e-07,3.174384000e-05,1.395388028e+01,nan
7.080000e-06,1.424365045e-03,1.399904000e-03,1.679884800e-07,2.099856000e-05,1.421606907e+01,nan
8.520000e-06,8.792136200e-04,8.653952000e-04,8.932096000e-08,1.298092800e-05,1.440301998e+01,nan
1.053000e-05,5.104445828e-04,5.080064000e-04,7.286848000e-08,7.620096000e-06,1.454016967e+01,nan
1.255000e-05,3.284415270e-04,3.280000000e-04,5.227008000e-08,4.920000000e-06,1.456143718e+01,nan
1.456000e-05,2.274484255e-04,2.284716800e-04,4.508032000e-08,3.427075200e-06,1.452306377e+01,nan
1.744000e-05,1.460546227e-04,1.465766400e-04,2.566534400e-08,2.198649600e-06,1.444313553e+01,nan
2.146000e-05,8.798549096e-05,8.800896000e-05,2.315417600e-08,1.320134400e-06,1.433042010e+01,nan
2.549000e-05,5.779953953e-05,5.762304000e-05,1.934412800e-08,8.643456000e-07,1.423475011e+01,nan
2.950000e-05,4.039075289e-05,4.009472000e-05,2.068236800e-08,6.014208000e-07,1.416960792e+01,nan
3.528000e-05,2.593490317e-05,2.562860800e-05,1.184736000e-08,3.844291200e-07,1.412901147e+01,nan
4.330000e-05,1.553266503e-05,1.535564800e-05,1.072953600e-08,2.303347200e-07,1.413422545e+01,nan
5.140000e-05,1.004900568e-05,9.968576000e-06,1.166368000e-08,1.495286400e-07,1.419804559e+01,nan
5.941000e-05,6.921179835e-06,6.838144000e-06,1.376550400e-08,1.025721600e-07,1.430089274e+01,nan
7.095000e-05,4.256829743e-06,4.303360000e-06,4.531648000e-09,6.455040000e-08,1.470971661e+01,nan
8.707000e-05,2.495869626e-06,2.550528000e-06,5.030208000e-09,3.825792000e-08,1.492749684e+01,nan
1.031600e-04,1.592454331e-06,1.613760000e-06,4.463424000e-09,2.420640000e-08,1.518281426e+01,nan
1.192200e-04,1.081067345e-06,1.067443200e-06,4.571008000e-09,1.601164800e-08,1.544420166e+01,nan
1.423300e-04,6.574673599e-07,6.683328000e-07,2.765696000e-09,1.002499200e-08,1.601421342e+01,nan
1.745400e-04,3.801198749e-07,3.655232000e-07,2.757824000e-09,5.482848000e-09,1.642393262e+01,nan
