time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
4.060000e-06,1.205129891e-03,1.256253941e-03,1.540868468e-05,3.140634852e-05,4.014978255e+01,nan
5.070000e-06,6.273025632e-04,6.131718245e-04,-2.126859892e-06,1.532929561e-05,4.284674671e+01,nan
6.070000e-06,3.783115336e-04,3.697491671e-04,5.891722183e-06,9.243729177e-06,4.446670536e+01,nan
7.080000e-06,2.481873909e-04,2.462577795e-04,9.032675215e-06,9.032675215e-06,4.556946404e+01,nan
8.520000e-06,1.515923411e-04,1.446949022e-04,-8.520310555e-07,3.617372556e-06,4.649415166e+01,nan
1.053000e-05,8.739778559e-05,8.459388194e-05,-4.981028733e-07,2.114847048e-06,4.715577872e+01,nan
1.255000e-05,5.574031835e-05,5.716344639e-05,2.171266791e-06,2.171266791e-06,4.750397878e+01,nan
1.456000e-05,3.818969465e-05,3.877730447e-05,7.300464229e-07,9.694326118e-07,4.771805611e+01,nan
1.744000e-05,2.412515581e-05,2.394747667e-05,-2.844537133e-07,5.986869167e-07,4.797609990e+01,nan
2.146000e-05,1.419270262e-05,1.450877615e-05,1.942169526e-07,3.627194038e-07,4.836036400e+01,nan
2.549000e-05,9.104492209e-06,9.075325650e-06,-1.064209373e-07,2.268831413e-07,4.880477118e+01,nan
2.950000e-05,6.227410928e-06,6.195939926e-06,-7.303780938e-08,1.548984982e-07,4.928038774e+01,nan
3.528000e-05,3.897888875e-06,3.935226878e-06,2.368533317e-08,9.838067196e-08,4.998218403e+01,nan
4.330000e-05,2.269950460e-06,2.161139326e-06,-1.087654260e-07,1.087654260e-07,5.094384798e+01,nan
5.140000e-05,1.439839851e-06,1.374790633e-06,-6.213704625e-08,6.213704625e-08,5.185227724e+01,nan
5.941000e-05,9.797257453e-07,9.632705981e-07,-1.379096709e-08,2.408176495e-08,5.265184063e+01,nan
7.160000e-05,5.968693386e-07,5.803442302e-07,-1.518043085e-08,1.518043085e-08,5.367943576e+01,nan
8.760000e-05,3.500570411e-07,3.526673691e-07,2.780202454e-09,8.816684229e-09,5.474146768e+01,nan
1.036000e-04,2.251464227e-07,2.202453334e-07,-5.208745700e-09,5.506133334e-09,5.554856781e+01,nan
1.196000e-04,1.547538604e-07,1.495589142e-07,-5.620232449e-09,5.620232449e-09,5.613962821e+01,nan
1.436000e-04,9.638823470e-08,1.004290873e-07,3.691160462e-09,3.691160462e-09,5.675129050e+01,nan
1.756000e-04,5.751681626e-08,5.733505625e-08,-3.481652387e-10,1.433376406e-09,5.725917428e+01,nan
2.076000e-04,3.754002438e-08,3.763571761e-08,7.017116821e-11,9.408929403e-10,5.757145563e+01,nan
2.396000e-04,2.610728497e-08,2.497465523e-08,-1.070157304e-09,1.070157304e-09,5.775594087e+01,nan
