,thk_00,thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,res_00,res_01,res_02,res_03,res_04,res_05,res_06,res_07
dB/dt tg01,3.95686119424973e-05,8.087790037933695e-06,1.413524274461993e-07,-4.3760383088922194e-07,-9.669267357161752e-10,3.5852076241755635e-12,1.2885838059435037e-12,-2.056067765961366e-05,-1.3058935741837146e-05,-2.81332731256005e-06,9.837379828054156e-07,6.576323074577186e-08,1.5877993910731822e-10,3.7055169154154336e-12,1.1342394785307296e-11
dB/dt tg02,1.9271174136196845e-05,3.7874175951734803e-06,-1.178427275517637e-06,-4.835119403212848e-07,-4.570846314081748e-09,4.7157049798711905e-12,1.2852369137816236e-12,-9.761365510584834e-06,-6.958848954934376e-06,-2.232650975078525e-06,4.025928136684722e-07,9.524769758768512e-08,8.573026187952569e-10,3.8860773570390885e-12,1.1320285321716421e-11
dB/dt tg03,1.0490666696615474e-05,1.7392106907369257e-06,-1.4879406739196728e-06,-4.1125124040079924e-07,-1.037743024150043e-08,1.7982701597302542e-11,1.2820243119353035e-12,-5.41296946928983e-06,-4.129814743646392e-06,-1.6725377778198921e-06,4.672249079974338e-08,1.0250777221516899e-07,2.331733304449216e-09,6.440115439660821e-12,1.1298504449923365e-11
dB/dt tg04,6.1547511571066e-06,7.814428666181933e-07,-1.4067676295852263e-06,-3.005269278797152e-07,-1.6358710502636932e-08,7.666122529613721e-11,1.2780333909587944e-12,-3.2789768941485256e-06,-2.628988011519555e-06,-1.2508345479781772e-06,-1.4743793682010776e-07,9.422980011464502e-08,4.3122592895391554e-09,1.9436781625086026e-11,1.1276151648731398e-11
dB/dt tg05,3.22665299855335e-06,2.2504336740563372e-07,-1.1210790873257953e-06,-1.5869284589162047e-07,-2.179741436607659e-08,3.186978223546448e-10,1.2768957717461182e-12,-1.809796719772906e-06,-1.5220251117043445e-06,-8.479569239208629e-07,-2.6265155197577206e-07,7.103692071688814e-08,7.075582071746168e-09,8.490809572787821e-11,1.124609548838593e-11
dB/dt tg06,1.5607382170610058e-06,9.565524572387361e-09,-7.501351339367428e-07,-3.033573551502919e-08,-2.1987149347672314e-08,1.0193502707525503e-09,1.4002561629389566e-12,-9.257947721763518e-07,-8.131692694723554e-07,-5.231740747383562e-07,-2.8364118674192424e-07,3.8008097761870726e-08,9.39152321209946e-09,3.2573697712837984e-10,1.1256994041867506e-11
dB/dt tg07,8.778831476475361e-07,-2.4317116210551264e-08,-4.930611060713398e-07,3.571763152780993e-08,-1.7040222249377247e-08,1.9282741777697805e-09,2.449108640616342e-12,-5.34996400453236e-07,-4.838090574356573e-07,-3.4265226993198653e-07,-2.523575111506103e-07,1.3811372342394232e-08,9.695307389104101e-09,7.347070378436525e-10,1.1734200838098265e-11
dB/dt tg08,5.550426236211079e-07,-1.771546102781567e-08,-3.2779795715899254e-07,6.574235363057332e-08,-1.0885133835859424e-08,2.7108968946533693e-09,6.576720637987979e-12,-3.382185932283058e-07,-3.1206349032524785e-07,-2.3641440454745124e-07,-2.120199015907822e-07,-1.3278112066118827e-09,8.711663086720757e-09,1.2094908139873257e-09,1.3970003301266284e-11
dB/dt tg09,3.302562117016828e-07,-8.23815183856595e-10,-1.8774993207023538e-07,7.843140831372714e-08,-3.4124440790503936e-09,3.337299830676689e-09,2.3251762459741908e-11,-1.9467088965971805e-07,-1.833704907218983e-07,-1.4870655571212951e-07,-1.6075884941619138e-07,-1.243150386400517e-08,6.438349142102333e-09,1.8136587437453873e-09,2.514808446501535e-11
dB/dt tg10,1.8993106090471154e-07,1.2942162401203577e-08,-9.096077932661575e-08,7.321439648211647e-08,2.681489965061391e-09,3.3091697732804284e-09,7.091055506423774e-11,-1.036630064296517e-07,-9.95459914779307e-08,-8.59934462004826e-08,-1.0959212436288726e-07,-1.705796583073475e-08,3.3772933604472347e-09,2.280010198012203e-09,6.552429848322008e-11
dB/dt tg11,1.2270466552677743e-07,1.7323054821466134e-08,-4.6201825013996226e-08,6.132668736463604e-08,5.123982727175431e-09,2.736961094628469e-09,1.3464311434823612e-10,-6.155895045248035e-08,-5.990040171837375e-08,-5.400092425997069e-08,-7.657728446062101e-08,-1.6644084472815542e-08,1.1957139919237866e-09,2.3164252960672663e-09,1.3517812013653218e-10
dB/dt tg12,8.523388748287537e-08,1.735814179376273e-08,-2.4337591340319506e-08,4.9738962965489685e-08,5.680561323493138e-09,2.045641639375264e-09,1.9274967520676112e-10,-3.957427007311747e-08,-3.887678786388385e-08,-3.6126209989265296e-08,-5.51711566858061e-08,-1.472608050210762e-08,-1.5647776073392301e-10,2.0879952094126465e-09,2.1960469161983406e-10
