time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
4.060000e-06,1.382763256e-03,1.410902860e-03,2.748654814e-05,5.643611441e-05,3.603500935e+01,nan
5.070000e-06,1.078071735e-03,1.056956858e-03,-5.878099132e-06,4.227827433e-05,2.937569904e+01,nan
6.070000e-06,8.836906226e-04,8.901404704e-04,2.247903932e-05,3.560561882e-05,2.484573980e+01,nan
7.080000e-06,7.451229767e-04,7.754469311e-04,4.452857166e-05,4.452857166e-05,2.153901551e+01,nan
8.520000e-06,6.055205694e-04,5.890086780e-04,-5.568917436e-06,2.356034712e-05,1.816692084e+01,nan
1.053000e-05,4.752199798e-04,4.636570583e-04,-4.383446596e-06,1.854628233e-05,1.500109066e+01,nan
1.255000e-05,3.867774450e-04,4.064491161e-04,2.414945866e-05,2.414945866e-05,1.284457126e+01,nan
1.456000e-05,3.235225850e-04,3.307614532e-04,9.851184159e-06,1.323045813e-05,1.129521637e+01,nan
1.744000e-05,2.589508264e-04,2.531931593e-04,-4.845753350e-06,1.012772637e-05,9.698641663e+00,nan
2.146000e-05,1.989772614e-04,2.035756743e-04,4.324287893e-06,8.143026974e-06,8.181785446e+00,nan
2.549000e-05,1.590613884e-04,1.568003952e-04,-2.961506008e-06,6.272015808e-06,7.130286992e+00,nan
2.950000e-05,1.311502304e-04,1.294624932e-04,-2.457611283e-06,5.178499728e-06,6.356487300e+00,nan
3.528000e-05,1.032680306e-04,1.049392306e-04,1.005941584e-06,4.197569222e-06,5.532333575e+00,nan
4.330000e-05,7.819774231e-05,7.270117524e-05,-6.025217398e-06,6.025217398e-06,4.733226405e+00,nan
5.140000e-05,6.152409866e-05,5.775382603e-05,-4.280325027e-06,4.280325027e-06,4.173155272e+00,nan
5.941000e-05,4.979253332e-05,4.921967159e-05,-1.132553355e-06,1.968786863e-06,3.774775953e+00,nan
7.160000e-05,3.716989773e-05,3.628704589e-05,-1.532285098e-06,1.532285098e-06,3.360861643e+00,nan
8.760000e-05,2.610041690e-05,2.712405741e-05,3.367450826e-07,1.084962296e-06,3.039681701e+00,nan
1.036000e-04,1.862820445e-05,1.856220779e-05,-6.997019122e-07,7.424883114e-07,2.877749537e+00,nan
1.196000e-04,1.335282932e-05,1.310208329e-05,-7.846315829e-07,7.846315829e-07,2.828128148e+00,nan
1.436000e-04,7.997761407e-06,8.855284787e-06,4.905378093e-07,4.905378093e-07,2.934473688e+00,nan
1.756000e-04,3.691290514e-06,3.840836240e-06,-3.502568832e-08,1.536334496e-07,3.513772006e+00,nan
2.076000e-04,1.216515873e-06,1.287014616e-06,3.473761202e-09,5.148058462e-08,5.571547193e+00,nan
2.396000e-04,-2.144046408e-07,-2.250820991e-07,-1.227058743e-08,9.003283962e-09,-1.395722582e+01,nan
2.850000e-04,-1.237300734e-06,-1.300737838e-06,-2.777362729e-08,5.202951354e-08,-3.248690227e+00,nan
3.500000e-04,-1.670883950e-06,-1.699755317e-06,7.586402864e-09,6.799021269e-08,-1.888088368e+00,nan
4.140000e-04,-1.595153802e-06,-1.690714751e-06,-7.452410163e-08,6.762859003e-08,-1.471965523e+00,nan
4.780000e-04,-1.351816829e-06,-1.339227693e-06,2.047101420e-08,5.356910773e-08,-1.293525085e+00,nan
5.700000e-04,-9.635382863e-07,-9.859818210e-07,-2.319162554e-08,3.943927284e-08,-1.208915202e+00,nan
6.990000e-04,-5.378681534e-07,-5.446645735e-07,-6.310549533e-09,2.178658294e-08,-1.269172739e+00,nan
8.280000e-04,-2.773777607e-07,-2.899120028e-07,-6.872441678e-09,1.159648011e-08,-1.488223858e+00,nan
9.560000e-04,-1.354988203e-07,-1.335854641e-07,1.088954405e-08,5.343418565e-09,-1.888193156e+00,nan
