,thk_00,thk_01,rho0_00,rho0_01,rho0_02,max_pha_00,max_pha_01,max_pha_02,tau_phi_00,tau_phi_01,tau_phi_02,c_00,c_01,c_02
dB/dt tg01,-0.0003950461723133325,1.0118562597125853e-11,-4.226174134632773e-06,3.146835031942978e-05,3.092510032952391e-13,0.00013204583006674802,-0.0019383438545477495,-2.5023385890731575e-11,6.998184080249046e-05,-0.018519437775982205,9.757819454791326e-10,-1.1398254602748352e-07,-0.00012446841140528034,5.637844096534111e-14
dB/dt tg02,-0.0003113689947580624,1.0144578340175033e-11,-2.508970782326045e-06,1.7248306358892066e-05,3.0892287829882703e-13,7.785913892980577e-05,-0.0010509561161226723,-2.341876669149922e-11,4.123304087456171e-05,-0.018925798083231412,9.627715195394107e-10,-6.751479299385815e-08,-0.00012034930023595532,7.285829293982544e-14
dB/dt tg03,-0.0002539527332852028,1.000869764481574e-11,-1.7255498317119785e-06,9.077012447485882e-06,3.0882509729081033e-13,5.3515297343725324e-05,-0.0005294588312769356,-1.8735013353199376e-11,2.8278230168923603e-05,-0.018955619194805495,1.4853569614515684e-09,-4.528035894753397e-08,-0.00011502437306554895,9.410862838060785e-14
dB/dt tg04,-0.00021212544815757102,9.429742242724985e-12,-1.2708937938495637e-06,3.856880293879171e-06,3.093541446418536e-13,3.942926807138809e-05,-0.0001890566236670668,-1.0278236492380213e-11,2.0802393887468688e-05,-0.018773707938179552,1.9971003817472913e-09,-3.257654987631686e-08,-0.0001092243284132504,1.2403257012375045e-13
dB/dt tg05,-0.00016957858031330764,-1.9589868255879555e-11,-8.91301282332976e-07,-7.27447877300521e-07,3.3573989944694937e-13,2.7681815026716477e-05,0.00011742185947439706,-7.524363001805768e-12,1.4578108539711248e-05,-0.018306512992085126,1.8453120791172038e-09,-2.2206158406283702e-08,-0.00010090410205043128,1.1362424256091824e-13
dB/dt tg06,-0.00012988575878022945,-7.756656522869852e-10,-5.990123131582358e-07,-4.194034337949501e-06,1.0473308109253785e-12,1.862580478111723e-05,0.00035738238139990916,-4.430050032475269e-11,9.804353411569062e-06,-0.017449470701605747,1.1080546091996372e-09,-1.4512025941092293e-08,-8.986214901242485e-05,4.260909096034434e-14
dB/dt tg07,-0.00010316739006065123,-7.1244073311480135e-09,-4.32584549248315e-07,-5.9454053370576745e-06,7.21615437284289e-12,1.3461883404705531e-05,0.00048444940506246954,-2.687845578930357e-10,7.07083690078164e-06,-0.016492153382694948,8.153200255558974e-10,-1.0286466601787657e-08,-7.974318056759247e-05,4.3801711826918864e-14
dB/dt tg08,-8.42926102572963e-05,-3.0540634082419215e-08,-3.2853914407765844e-07,-6.794354032298604e-06,3.1000929561469394e-11,1.0228730520636978e-05,0.0005505953993255656,-1.1409818288487515e-09,5.3770225581152035e-06,-0.015520504118084703,-4.4452288627382703e-10,-7.722041646657289e-09,-7.068846855720741e-05,4.9114295687114466e-14
dB/dt tg09,-6.534661976914446e-05,-1.2202040563324632e-07,-2.3473931738979795e-07,-7.17851105939763e-06,1.2908443285338663e-10,7.309638563467864e-06,0.000588380443743757,-4.82623918638303e-09,3.836397307271697e-06,-0.014165834907198983,-3.115997012563363e-09,-5.475556584522921e-09,-5.935817982216173e-05,1.8171205203444558e-13
dB/dt tg10,-4.8180227914417255e-05,-3.888441525587246e-07,-1.5840727635551388e-07,-6.908056467419143e-06,4.410278165246958e-10,4.930127681457195e-06,0.0005835672103464464,-1.6480360747953672e-08,2.573129400813341e-06,-0.012426993691694125,-9.506284553290038e-09,-3.7035660963008316e-09,-4.6366259781457335e-05,1.0479342714432779e-12
dB/dt tg11,-3.707432390786912e-05,-7.585764752049887e-07,-1.1327770431517145e-07,-6.278341264473802e-06,9.232169426299414e-10,3.521616518926029e-06,0.0005479869725829412,-3.442753860039481e-08,1.8387385614111594e-06,-0.010896699185970707,-1.834795318149262e-08,-2.679972433661013e-09,-3.605054291943494e-05,2.9212163925955157e-12
dB/dt tg12,-2.950228915061233e-05,-1.1226071082764542e-06,-8.463340816167168e-08,-5.605428592462485e-06,1.464103027620869e-09,2.627387620366442e-06,0.0005017246621850899,-5.454973440930894e-08,1.3757739384688577e-06,-0.00957707438317214,-2.799464191471549e-08,-2.0356243646345532e-09,-2.787574009653809e-05,5.559239539418972e-12
dB/dt tg13,-2.2129715536613665e-05,-1.4990236058443025e-06,-5.8916907354173424e-08,-4.793883758664873e-06,2.162897009939448e-09,1.8250038965589791e-06,0.000434756672787909,-8.05041436697816e-08,9.505406349539106e-07,-0.007972844751648814,-4.070365965350037e-08,-1.4531393818858036e-09,-1.8760300854174418e-05,1.0020617361116705e-11
dB/dt tg14,-1.570422255074797e-05,-1.6525164147220277e-06,-3.905075149731398e-08,-4.06036498256887e-06,2.7610591516803605e-09,1.2069520582273347e-06,0.000358685407960963,-1.0247643831035659e-07,6.321218442019176e-07,-0.006168929266506101,-5.098704610614837e-08,-9.867583146557041e-10,-9.507757419769537e-06,1.5930975325663095e-11
dB/dt tg15,-1.1579735052905391e-05,-1.4936045969181085e-06,-2.8031485622997577e-08,-3.6405508125995136e-06,2.9380097049529935e-09,8.65520081838975e-07,0.00030394117500556197,-1.0882129507000501e-07,4.53673552518098e-07,-0.0046723627920711485,-5.440607762289109e-08,-7.147221014892525e-10,-2.572613524805124e-06,1.957058316025159e-11
dB/dt tg16,-8.78500195254517e-06,-1.193770519136331e-06,-2.1471883210078194e-08,-3.3812787217248132e-06,2.8329888608020786e-09,6.629787039292217e-07,0.0002654346508854244,-1.0473748093209249e-07,3.469215169047086e-07,-0.003405420395750422,-5.200145275363605e-08,-5.461938745367699e-10,2.7972849008563636e-06,2.127989346475968e-11
