time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
4.060000e-06,1.410447366e-03,1.382159205e-03,2.692657871e-05,5.528636818e-05,3.556192569e+01,nan
5.070000e-06,1.071539935e-03,1.028166212e-03,-5.717984864e-06,4.112664847e-05,2.949495530e+01,nan
6.070000e-06,8.657219847e-04,8.603004030e-04,2.172547942e-05,3.441201612e-05,2.518835465e+01,nan
7.080000e-06,7.221811034e-04,7.448032406e-04,4.276892144e-05,4.276892144e-05,2.199279397e+01,nan
8.520000e-06,5.799293753e-04,5.610002436e-04,-5.304106402e-06,2.244000974e-05,1.869751337e+01,nan
1.053000e-05,4.490888930e-04,4.367985171e-04,-4.129525418e-06,1.747194068e-05,1.557749979e+01,nan
1.255000e-05,3.613918535e-04,3.790128731e-04,2.251932510e-05,2.251932510e-05,1.343924280e+01,nan
1.456000e-05,2.992760357e-04,3.055301742e-04,9.099717825e-06,1.222120697e-05,1.189733423e+01,nan
1.744000e-05,2.364466502e-04,2.309864782e-04,-4.420753571e-06,9.239459130e-06,1.030466009e+01,nan
2.146000e-05,1.786373347e-04,1.828806156e-04,3.884695621e-06,7.315224623e-06,8.791619817e+00,nan
2.549000e-05,1.404395457e-04,1.389800058e-04,-2.624935754e-06,5.559200232e-06,7.747422593e+00,nan
2.950000e-05,1.138801217e-04,1.134204157e-04,-2.153087337e-06,4.536816629e-06,6.983898848e+00,nan
3.528000e-05,8.758501340e-05,9.063976789e-05,8.688710015e-07,3.625590716e-06,6.174461509e+00,nan
4.330000e-05,6.445731490e-05,6.183751070e-05,-5.124906096e-06,5.124906096e-06,5.384002855e+00,nan
5.140000e-05,4.966915397e-05,4.859383329e-05,-3.601477378e-06,3.601477378e-06,4.813232887e+00,nan
5.941000e-05,3.973607012e-05,4.115911411e-05,-9.470879210e-07,1.646364564e-06,4.387435241e+00,nan
7.160000e-05,2.962626247e-05,3.033512787e-05,-1.280972080e-06,1.280972080e-06,3.909551763e+00,nan
8.760000e-05,2.131318996e-05,2.307231170e-05,2.864473090e-07,9.228924681e-07,3.479317820e+00,nan
1.036000e-04,1.598763259e-05,1.642216333e-05,-6.190438585e-07,6.568865332e-07,3.186477701e+00,nan
1.196000e-04,1.234856647e-05,1.235332648e-05,-7.398000743e-07,7.398000743e-07,2.979455616e+00,nan
1.436000e-04,8.724863686e-06,9.701499452e-06,5.374005744e-07,5.374005744e-07,2.769087943e+00,nan
1.756000e-04,5.801936740e-06,5.962459610e-06,-5.436079571e-08,2.384983844e-07,2.599224169e+00,nan
2.076000e-04,4.043643115e-06,4.155484154e-06,1.120099288e-08,1.662193662e-07,2.501530416e+00,nan
2.396000e-04,2.921180835e-06,2.793525260e-06,-1.689751588e-07,1.689751588e-07,2.446712444e+00,nan
2.850000e-04,1.931731041e-06,1.892087212e-06,-4.217356432e-08,7.568348847e-08,2.413945032e+00,nan
3.500000e-04,1.149683560e-06,1.140379902e-06,5.048448460e-09,4.561519608e-08,2.422521429e+00,nan
4.140000e-04,7.337775589e-07,6.850967918e-07,-3.318458963e-08,3.318458963e-08,2.470148502e+00,nan
4.780000e-04,4.898838511e-07,4.848246983e-07,7.215049742e-09,1.939298793e-08,2.544825487e+00,nan
5.700000e-04,2.904703921e-07,2.771305485e-07,-6.883660771e-09,1.108522194e-08,2.688895403e+00,nan
6.990000e-04,1.510244715e-07,1.493028325e-07,-1.792107358e-09,5.972113300e-09,2.959872971e+00,nan
8.280000e-04,8.301056118e-08,8.509593141e-08,-2.160276143e-09,3.403837256e-09,3.326292636e+00,nan
9.560000e-04,4.689826865e-08,5.777072343e-08,4.157492538e-09,4.157492538e-09,3.830294983e+00,nan
