,thk_00,thk_01,rho0_00,rho0_01,rho0_02,max_pha_00,max_pha_01,max_pha_02,tau_phi_00,tau_phi_01,tau_phi_02,c_00,c_01,c_02
dB/dt tg01,-0.00035575958565436304,1.9941304290579213e-10,-1.0440137295940167e-05,4.432109649029081e-05,1.788601405368493e-11,0.00024812358642480194,-0.001859815199035607,-1.6861512017879437e-10,0.00012928151475525884,-4.393583233156788e-05,4.857225684162793e-10,-1.6897110578729666e-07,-1.2706732480785083e-05,2.4806594795892145e-13
dB/dt tg02,-0.00028893083725873246,1.994209971875989e-10,-5.50122365706345e-06,2.4507658841986492e-05,1.787354729564578e-11,0.00012834295338325297,-0.0010841522768749363,-1.6705386906602776e-10,6.739820006171999e-05,-4.442305478271337e-05,6.505212969860883e-10,-9.87032374874578e-08,-1.2404150042777382e-05,2.1553981841885308e-13
dB/dt tg03,-0.00023634426513626186,1.994255852382454e-10,-3.5867720658001746e-06,1.349227420119915e-05,1.786146040608284e-11,8.308221568804136e-05,-0.0006449052351552716,-1.719544628366563e-10,4.3722295311948146e-05,-4.4082627394917745e-05,6.591949142792361e-10,-6.536192093245303e-08,-1.1959656861064302e-05,1.9407257292240795e-13
dB/dt tg04,-0.0001968428056149386,1.994451041235108e-10,-2.563908772636656e-06,6.624622545597135e-06,1.7848964248648325e-11,5.9205238036293516e-05,-0.0003655233359720813,-1.8227606741550226e-10,3.1165315242290534e-05,-4.333923721581146e-05,5.160802289422967e-10,-4.661499211924389e-08,-1.1466081549080262e-05,1.6002855733713638e-13
dB/dt tg05,-0.00015628342914552048,1.9941470217432363e-10,-1.7567260349731075e-06,7.153828100674709e-07,1.7831467365193767e-11,4.0510259086437305e-05,-0.00011882175737882565,-1.9450586779884074e-10,2.1287960330773692e-05,-4.195486119194306e-05,5.225854419121577e-10,-3.151363928786073e-08,-1.0758792042133715e-05,1.4875283242991268e-13
dB/dt tg06,-0.00011850075642287804,1.991215024073973e-10,-1.1577262249178155e-06,-3.6619218377239815e-06,1.7808682884299424e-11,2.668168591223483e-05,7.172583720914147e-05,-2.095654358240687e-10,1.3998700062507356e-05,-3.979711250387556e-05,3.458604895642703e-10,-2.045135663699054e-08,-9.830038229521981e-06,1.2793610952426893e-13
dB/dt tg07,-9.32208914926466e-05,1.8781148593905278e-10,-8.252690755574099e-07,-5.8397736655251495e-06,1.788249233951527e-11,1.9015564995677204e-05,0.00017283387326919248,-2.213940814075991e-10,9.983297725741834e-06,-3.7616500546571016e-05,1.344410680437916e-10,-1.4428854705664164e-08,-8.99048514421307e-06,3.72966285392784e-14
dB/dt tg08,-7.548781778450395e-05,5.8196537489434e-11,-6.206818844477412e-07,-6.905149501762855e-06,1.9028852456027102e-11,1.4297769585171494e-05,0.00022724334655957465,-2.2884255025808983e-10,7.508210558001591e-06,-3.554257071787788e-05,3.2526064849304416e-12,-1.0796270570006088e-08,-8.247784703336305e-06,1.4311496997630085e-14
dB/dt tg09,-5.7826679475779696e-05,-1.1745958899625833e-09,-4.3901035461264524e-07,-7.470614953918496e-06,3.072959838830859e-11,1.0107358967550717e-05,0.00026340200451670356,-3.3638998368231503e-10,5.30328596910183e-06,-3.28040418049387e-05,-7.155734266846971e-11,-7.628010193791727e-09,-7.3263153361599946e-06,-1.0733622748222562e-14
dB/dt tg10,-4.1967146508171283e-05,-1.0724475573641886e-08,-2.9401404477381296e-07,-7.398082269600893e-06,1.2856834528457732e-10,6.762183887528316e-06,0.00027448705073025557,-1.398138318558161e-09,3.5482716670171035e-06,-2.9455800620754235e-05,-9.231981406394237e-10,-5.140443864310577e-09,-6.2702262652183376e-06,4.7921830855700734e-14
dB/dt tg11,-3.1792157364825086e-05,-3.9723145616134156e-08,-2.0980768371291027e-07,-6.925152463510658e-06,4.533328629418673e-10,4.819256002890209e-06,0.0002658176551672263,-5.013974211682408e-09,2.534095954589852e-06,-2.6601500520004656e-05,-3.049318579622289e-09,-3.7127835533064067e-09,-5.42063174256733e-06,3.3409756059240227e-13
dB/dt tg12,-2.4913722431819076e-05,-9.189141494830065e-08,-1.5673761456129145e-07,-6.323208666653362e-06,1.0952239815610207e-09,3.5948016041153335e-06,0.0002493454920412647,-1.2140163969624607e-08,1.8929386406233382e-06,-2.4187003298355245e-05,-6.633148824934814e-09,-2.8187460547834668e-09,-4.7345357894450416e-06,9.979016542892976e-13
dB/dt tg13,-1.831206650898253e-05,-1.9618505831081856e-07,-1.0872302966601743e-07,-5.438609212326292e-06,2.5341263080631025e-09,2.4873879860756798e-06,0.0002213699478667343,-2.8032564595824423e-08,1.3088979096838241e-06,-2.1317997887940485e-05,-1.4281110873167925e-08,-2.0111695163986704e-09,-3.956349609220396e-06,2.8308574743039506e-12
dB/dt tg14,-1.2732995553963325e-05,-3.425817848550705e-07,-7.063098895866714e-08,-4.383698461817603e-06,4.9546542318622884e-09,1.6097877400147056e-06,0.00018397978691691273,-5.473953212922084e-08,8.51109809962289e-07,-1.824820277717503e-05,-2.705111498354525e-08,-1.3639280613552441e-09,-3.168109823033256e-06,6.829836680823557e-12
dB/dt tg15,-9.318214562733796e-06,-4.3861124390345147e-07,-4.881759328023771e-08,-3.5866370111286095e-06,7.074468381778087e-09,1.1084059449101196e-06,0.00015287038354372225,-7.80501374578218e-08,5.871963013309776e-07,-1.5900156512290938e-05,-3.8592040418429484e-08,-9.830639463058175e-10,-2.5968264583808263e-06,1.1425724574619317e-11
dB/dt tg16,-7.1161981814155855e-06,-4.709258772746019e-07,-3.56492674630004e-08,-3.0224712146094845e-06,8.426009433778265e-09,8.066460965546294e-07,0.00012927283907861049,-9.282329992952464e-08,4.2794462207067695e-07,-1.4072418798686104e-05,-4.5883435480752096e-08,-7.443108543848643e-10,-2.1713698367115127e-06,1.5508323039164848e-11
dB/dt tg17,-4.977555527260437e-06,-4.332046809656668e-07,-2.382561321788778e-08,-2.4518533610772696e-06,9.075815869578816e-09,5.367550683428028e-07,0.00010422274258593782,-9.977265495965007e-08,2.8702734346484845e-07,-1.1891958188884792e-05,-4.91102244017084e-08,-5.192937744721781e-10,-1.6856468095839003e-06,1.9679433233721293e-11
dB/dt tg18,-3.3249425128353957e-06,-3.155613669507022e-07,-1.5529084775047574e-08,-1.9900342808551266e-06,8.25727134593607e-09,3.483726361171488e-07,8.38160772230461e-05,-9.054620976054371e-08,1.8521290002085373e-07,-9.698476596480701e-06,-4.4796658338974715e-08,-3.522546390550629e-10,-1.2208461816704975e-06,2.125798051051671e-11
dB/dt tg19,-2.3346925082645396e-06,-1.9482429244314535e-07,-1.0937601673874627e-08,-1.679651880384739e-06,6.689683954328696e-09,2.4464123515994256e-07,7.069896841076451e-05,-7.313532302059061e-08,1.3205961799574167e-07,-7.973523579129356e-06,-3.656810603318152e-08,-2.5504109984957216e-10,-8.731597474985486e-07,2.0191997601333858e-11
dB/dt tg20,-1.6982570651535274e-06,-9.885869561685057e-08,-8.112776121432216e-09,-1.4425324061048313e-06,5.061787969929606e-09,1.8099291246313131e-07,6.114034692850657e-05,-5.515547409126105e-08,9.849190591963829e-08,-6.570346743421826e-06,-2.8025440032369674e-08,-1.9360140317496584e-10,-6.03662541632936e-07,1.774328487960228e-11
dB/dt tg21,-1.1059680475717183e-06,-4.604481210704103e-09,-5.526292277533197e-09,-1.1643880128835726e-06,3.024165451063501e-09,1.2281422839673987e-07,5.0219446646385656e-05,-3.273343985794884e-08,6.547500242296733e-08,-4.9059375039799274e-06,-1.6983891336874916e-08,-1.36440114585851e-10,-3.027547736961638e-07,1.3449225915384377e-11
dB/dt tg22,-6.672528346107146e-07,5.623235393405313e-08,-3.5815560851823727e-09,-8.875125140628174e-07,1.2046258966063136e-09,7.917799197018528e-08,3.926332340073858e-05,-1.2770631253565223e-08,4.1739970572785006e-08,-3.2792383605628145e-06,-6.663913061271447e-09,-9.254949040596279e-11,-3.395869611423416e-08,8.612702261346505e-12
dB/dt tg23,-4.2573162321505346e-07,7.779819245491064e-08,-2.464757416283695e-09,-6.857974945517911e-07,1.4548988962726712e-10,5.4181146331931216e-08,3.1020595979143435e-05,-1.2129806450849156e-09,2.9664990869997478e-08,-2.1222446084468533e-06,-7.963295470683608e-10,-6.670034261442176e-11,1.3651357086345207e-07,5.140482028659058e-12
dB/dt tg24,-2.8325069062167667e-07,8.16250899055197e-08,-1.77103819776514e-09,-5.372719849901027e-07,-4.485838106759298e-10,3.869518573696762e-08,2.4740356704451635e-05,5.238457676327633e-09,2.1487362184483973e-08,-1.286351069314806e-06,2.585246173121328e-09,-5.030439157325794e-11,2.4460978062566397e-07,2.721928821729659e-12
dB/dt tg25,-1.6777764449576228e-07,7.526968124043133e-08,-1.1715297420047686e-09,-3.886632524841215e-07,-8.5252288241394e-10,2.5363302580757808e-08,1.823302073945813e-05,9.585271645381067e-09,1.3890933620246478e-08,-4.6719767969716534e-07,4.849797205289657e-09,-3.5635671789240056e-11,3.3248439856514376e-07,5.38545460617318e-13
dB/dt tg26,-8.575536190528024e-08,6.054144219906427e-08,-7.049031322105003e-10,-2.5475420906892365e-07,-1.0117579373447622e-09,1.5048392950260005e-08,1.2135495092372338e-05,1.1233508678741161e-08,8.212606910720588e-09,2.4466805314948253e-07,5.66484194514045e-09,-2.3517947566050302e-11,3.845781783971648e-07,-1.0445448863809168e-12
dB/dt tg27,-4.697273982855143e-08,4.728457847662119e-08,-4.5854854713316735e-10,-1.7487601760998728e-07,-9.820411996100933e-10,9.6456877732233e-09,8.36781429311621e-06,1.0843957192579062e-08,5.359209167421377e-09,6.419909377296121e-07,5.544415037068839e-09,-1.66969178014007e-11,3.94178685482668e-07,-1.6879504805174915e-12
dB/dt tg28,-2.6528445458208207e-08,3.6810036831188906e-08,-3.139786808451102e-10,-1.2394189163412572e-07,-8.940686388230124e-10,6.5083675111073366e-09,5.902910329438652e-06,9.843418570705796e-09,3.901954641296314e-09,8.700490912809765e-07,4.948349487717172e-09,-1.2412370337561608e-11,3.8492026590411184e-07,-1.917561238100918e-12
dB/dt tg29,-1.1705713572524773e-08,2.596388478096988e-08,-1.9492251290381283e-10,-7.898960069696366e-08,-7.504782150996528e-10,3.950909566443868e-09,3.679084625590169e-06,8.237004953368452e-09,2.439743913688191e-09,1.033794603837331e-06,4.001749944561494e-09,-8.60646515342405e-12,3.582226689823164e-07,-1.933800480022168e-12
dB/dt tg30,-2.9354854778526063e-09,1.6442258953137306e-08,-1.1016926061202312e-10,-4.487956695049324e-08,-5.758110872235154e-10,2.15773285704671e-09,1.958689939762381e-06,6.296930963639627e-09,1.1868159670124644e-09,1.1004011673427673e-06,3.0368121382811435e-09,-5.600482829800511e-12,3.1440536367123696e-07,-1.7178962249565801e-12
dB/dt tg31,5.068807075204449e-10,1.0807480343201375e-08,-6.758849539282696e-11,-2.6937942395031815e-08,-4.44082263382753e-10,1.2776644133933371e-09,1.0456787345652117e-06,4.8436255327152744e-09,7.609521575888749e-10,1.0829714952801996e-06,2.3791373834292315e-09,-3.897577154679908e-12,2.7314888996843307e-07,-1.4504185198339808e-12
dB/dt tg32,1.921132593785116e-09,7.3531894476735774e-09,-4.414097269734517e-11,-1.682755698605951e-08,-3.4795193017115813e-10,8.023331656607206e-10,5.341979198979496e-07,3.787717516422123e-09,5.398482379023683e-10,1.032294046896612e-06,1.8334675146083803e-09,-2.8632046394358264e-12,2.3746395684739038e-07,-1.2263350866858075e-12
