time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
4.060000e-06,1.263443713e-02,1.150807165e-02,1.689688352e-04,8.055650157e-04,5.322085238e+01,nan
5.070000e-06,1.031862816e-02,9.066531774e-03,-3.776398655e-05,6.346572241e-04,4.206309648e+01,nan
6.070000e-06,1.479004383e-03,1.342787083e-03,2.559399081e-05,9.399509578e-05,1.137719028e+02,nan
7.080000e-06,5.634840659e-04,5.491601975e-04,2.399540219e-05,3.844121382e-05,1.675017280e+02,nan
8.520000e-06,2.414087242e-04,2.329448453e-04,-1.647944216e-06,1.630613917e-05,2.164850195e+02,nan
1.053000e-05,1.102303714e-04,1.098353467e-04,-7.769763954e-07,7.688474267e-06,2.564962471e+02,nan
1.255000e-05,6.195217644e-05,6.638213101e-05,3.002839598e-06,4.646749171e-06,2.811157806e+02,nan
1.456000e-05,3.917209787e-05,4.152984116e-05,9.347003697e-07,2.907088881e-06,2.979035203e+02,nan
1.744000e-05,2.305213607e-05,2.382692604e-05,-3.404255235e-07,1.667884823e-06,3.140105433e+02,nan
2.146000e-05,1.272343268e-05,1.369389251e-05,2.193762794e-07,9.585724757e-07,3.302758006e+02,nan
2.549000e-05,7.885270853e-06,8.275489834e-06,-1.167192874e-07,5.792842884e-07,3.410633169e+02,nan
2.950000e-05,5.236505886e-06,5.508904650e-06,-7.810770966e-08,3.856233255e-07,3.512352190e+02,nan
3.528000e-05,3.157542739e-06,3.395905200e-06,2.449680524e-08,2.377133640e-07,3.652150745e+02,nan
4.330000e-05,1.761984489e-06,1.767213802e-06,-1.078149947e-07,1.237049662e-07,3.829845605e+02,nan
5.140000e-05,1.046527516e-06,1.050252368e-06,-5.749572495e-08,7.351766573e-08,4.072772781e+02,nan
5.941000e-05,6.580157405e-07,6.802974931e-07,-1.172977788e-08,4.762082452e-08,4.359189062e+02,nan
7.160000e-05,3.436433604e-07,3.463903494e-07,-1.095932938e-08,2.424732446e-08,4.924953551e+02,nan
8.760000e-05,1.428966876e-07,1.473832589e-07,1.407598589e-09,1.031682812e-08,6.316466485e+02,nan
1.036000e-04,4.982050134e-08,4.826986704e-08,-1.445073290e-09,3.378890693e-09,9.641046101e+02,nan
1.196000e-04,3.435427437e-09,2.507571028e-09,-2.584230817e-10,2.584230817e-10,4.512909886e+03,nan
1.436000e-04,-2.896455819e-08,-2.771132447e-08,1.427796375e-09,1.939792713e-09,-8.032063664e+02,nan
1.756000e-04,-4.110989045e-08,-4.042158155e-08,-2.943708256e-10,2.829510709e-09,-4.548037972e+02,nan
2.076000e-04,-4.068324731e-08,-3.886639052e-08,8.566368916e-11,2.720647336e-09,-3.464760012e+02,nan
2.396000e-04,-3.661291779e-08,-3.625161322e-08,-1.622603387e-09,2.537612925e-09,-2.927037127e+02,nan
2.850000e-04,-2.919594123e-08,-2.778809593e-08,-5.000918134e-10,1.945166715e-09,-2.549016971e+02,nan
3.500000e-04,-1.980845836e-08,-1.828242680e-08,7.217044276e-11,1.279769876e-09,-2.344131418e+02,nan
4.140000e-04,-1.327619112e-08,-1.287926158e-08,-5.411325749e-10,9.015483104e-10,-2.313553687e+02,nan
4.780000e-04,-8.718512004e-09,-8.093942648e-09,1.302643500e-10,5.665759853e-10,-2.409837399e+02,nan
5.700000e-04,-4.579150408e-09,-4.653384368e-09,-1.413666415e-10,3.257369058e-10,-2.760669702e+02,nan
6.990000e-04,-1.748604734e-09,-1.965505618e-09,-4.596689839e-11,1.375853933e-10,-3.733126915e+02,nan
8.280000e-04,-5.787754994e-10,-8.683092184e-10,-7.449987121e-11,6.078164529e-11,-5.883085507e+02,nan
9.560000e-04,-1.011769704e-10,-9.428806138e-11,2.016739370e-10,6.600164296e-12,-1.480851626e+03,nan
