,thk_00,thk_01,rho0_00,rho0_01,rho0_02,max_pha_00,max_pha_01,max_pha_02,tau_phi_00,tau_phi_01,tau_phi_02,c_00,c_01,c_02
dB/dt tg01,5.760161819561463e-05,1.3468339061599139e-05,-2.3587435471395654e-05,9.941422886118635e-08,4.852751319146188e-07,0.0054615959305740645,-0.0013880960425796298,-8.624157655868204e-05,0.0026388979626267464,-0.013964292473200975,-4.211131401443127e-05,5.311496224411946e-07,-4.949200418954132e-05,1.0472594908685057e-09
dB/dt tg02,8.090511584270197e-05,1.8466440957525857e-05,-2.1029558874785895e-05,-3.07016479180966e-07,6.986409629508354e-07,0.004895029238862752,0.0024619766661957234,-0.00012421769773190584,0.0023747192169470146,-0.015353648835076788,-6.047984968976053e-05,2.8289895837238205e-07,-5.2161383672436735e-05,-2.1208173893698355e-09
dB/dt tg03,8.383804994166541e-06,-7.326616910499351e-06,-2.612566708479552e-06,-2.913162631974656e-07,-6.282792254913092e-08,0.0006074991227046734,0.0029803789736846447,1.1599874070197935e-05,0.00030105453852856813,-0.006543740714442998,5.073012271990372e-06,-9.447976421245373e-08,-1.051186935183202e-05,1.1911365437974264e-08
dB/dt tg04,-3.7997264824755317e-07,-5.535107894687097e-06,-7.740895057619926e-07,-1.216744921168559e-07,-2.621095149647918e-07,0.00017732957672191807,0.0012815479867553188,4.67928537588618e-05,8.914863116135135e-05,-0.0029511214321908284,2.2572451494546218e-05,-5.384211122023507e-08,9.738823657667264e-07,5.3723962674914725e-09
dB/dt tg05,-1.0054678074505086e-06,-2.851729512292325e-06,-2.6130154596092604e-07,-4.9131890354170254e-08,-2.300733077536548e-07,5.878610680143766e-05,0.000523628166094724,4.093847558304204e-05,3.0024699331671337e-05,-0.0010211798324941683,1.9948325560857816e-05,-2.7665057196951282e-08,5.131910177645706e-06,5.744480896840495e-10
dB/dt tg06,-5.904437466147064e-07,-1.3191482193310862e-06,-9.763004483631406e-08,-2.0158446688175532e-08,-1.5369792528988358e-07,2.1520177804494117e-05,0.00021386979881736354,2.7295189403236142e-05,1.1189181793340346e-05,-2.5494825990242787e-05,1.3383616726326206e-05,-1.4167332069134823e-08,6.0578081506900786e-06,-1.2805959506663912e-09
dB/dt tg07,-3.2982892700369074e-07,-7.173972770641408e-07,-4.7829622144600936e-08,-1.0281840601505786e-08,-1.0475693175501142e-07,1.0377099008414261e-05,0.00010738491416588569,1.8580107660356946e-05,5.481583014584101e-06,0.00038121282152919355,9.145559381039095e-06,-8.590833660511803e-09,5.842752312326749e-06,-1.5813868611025473e-09
dB/dt tg08,-1.9607835515623944e-07,-4.3759687996656026e-07,-2.7257462026775094e-08,-5.974195999399762e-09,-7.498619980688375e-08,5.819996349893011e-06,6.065981650589041e-05,1.3286254222956352e-05,3.117520045549932e-06,0.000574892756249612,6.555680818656874e-06,-5.763750977512992e-09,5.418051161102486e-06,-1.5051475269242903e-09
dB/dt tg09,-9.954344928232105e-08,-2.469048006579291e-07,-1.4407556223745536e-08,-3.1682294521123833e-09,-4.9608049949516935e-08,3.0079243746713843e-06,3.0152434127917634e-05,8.778698501401762e-06,1.6396135858279071e-06,0.0007017541165547378,4.342789647798629e-06,-3.6331734037724002e-09,4.798792589753168e-06,-1.2689595815599647e-09
dB/dt tg10,-3.798951198708589e-08,-1.3149130673779147e-07,-7.0703156461667965e-09,-1.5150755329130156e-09,-3.072425060040798e-08,1.4330089014641316e-06,1.2310832416584017e-05,5.4287323262672355e-06,8.022842225093297e-07,0.0007601274698147262,2.6954475640306683e-06,-2.182684861565863e-09,4.07351544188745e-06,-9.723216634582713e-10
