time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,5.413343306e-04,5.806912000e-04,5.615360000e-07,4.064838400e-05,4.727071595e+01,4.517000000e+01
6.070000e-06,3.491612700e-04,3.219648000e-04,3.188160000e-07,2.253753600e-05,4.690840121e+01,4.953000000e+01
7.080000e-06,2.450162904e-04,2.223052800e-04,2.883776000e-07,1.556136960e-05,4.596180644e+01,4.907000000e+01
8.520000e-06,1.650894453e-04,1.529004800e-04,1.721344000e-07,1.070303360e-05,4.392417661e+01,4.625000000e+01
1.053000e-05,1.065714470e-04,1.040940800e-04,1.690643200e-07,7.286585600e-06,4.131501982e+01,4.198000000e+01
1.255000e-05,7.469916505e-05,7.544000000e-05,1.367366400e-07,5.280800000e-06,3.908101049e+01,3.885000000e+01
1.456000e-05,5.551731514e-05,5.675712000e-05,1.585683200e-07,3.972998400e-06,3.718443875e+01,3.666000000e+01
1.744000e-05,3.860792001e-05,4.004224000e-05,7.441664000e-08,2.802956800e-06,3.506609634e+01,3.423000000e+01
2.146000e-05,2.524997717e-05,2.631872000e-05,7.179264000e-08,1.842310400e-06,3.293762670e+01,3.204000000e+01
2.549000e-05,1.762564306e-05,1.853068800e-05,6.326464000e-08,1.297148160e-06,3.141975440e+01,3.039000000e+01
2.950000e-05,1.291777269e-05,1.341126400e-05,6.294976000e-08,9.387884800e-07,3.029847062e+01,2.955000000e+01
3.528000e-05,8.760917845e-06,9.026560000e-06,3.135680000e-08,6.318592000e-07,2.912964061e+01,2.856000000e+01
4.330000e-05,5.564561503e-06,5.636352000e-06,3.025472000e-08,3.945446400e-07,2.802089701e+01,2.778000000e+01
5.140000e-05,3.784476870e-06,3.786432000e-06,4.001600000e-08,2.650502400e-07,2.722534492e+01,2.722000000e+01
5.941000e-05,2.720601335e-06,2.718464000e-06,3.169792000e-08,1.902924800e-07,2.665057809e+01,2.666000000e+01
7.095000e-05,1.770919678e-06,1.724230400e-06,1.656006400e-08,1.206961280e-07,2.639546093e+01,2.687000000e+01
8.707000e-05,1.102858817e-06,1.065868800e-06,1.710848000e-08,7.461081600e-08,2.573089971e+01,2.632000000e+01
1.031600e-04,7.360578429e-07,7.218624000e-07,1.852019200e-08,5.053036800e-08,2.539738331e+01,2.573000000e+01
1.192200e-04,5.147345258e-07,5.098432000e-07,1.568364800e-08,3.568902400e-08,2.532863372e+01,2.549000000e+01
1.423300e-04,3.199327473e-07,3.508288000e-07,1.080300800e-08,2.455801600e-08,2.588506620e+01,2.434000000e+01
1.745400e-04,1.833992442e-07,2.309382400e-07,8.869120000e-09,1.616567680e-08,2.669884733e+01,2.289000000e+01
