,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,-6.333632389762266e-06,2.3491642439608736e-06,-9.095021829245452e-08,8.997658659656894e-10,-2.4393528656879625e-11,-1.3448531478252671e-05,-3.0141640569461836e-06,1.1911526268965367e-06,4.2543593683773044e-08,2.550724405578552e-10,4.720428328737365e-12,0.005507019622054396,0.0010568091197002622,-0.00020560310977568055,-8.14845271057029e-06,-3.740658437928797e-08,6.062787125531588e-10,0.042868025191462544,0.04636461936149357,-0.061533805360236636,-0.0006851888654726302,-6.518268401148265e-06,2.1092060677196218e-07,-8.559881966126473e-06,-0.00028905925607251534,7.044206763004351e-05,3.1064166179148147e-06,1.56621488744504e-08,-1.2901007959547308e-10
dB/dt tg02,-5.98776364020933e-06,-1.886058725495573e-06,-1.285126451175796e-07,5.468348360373627e-09,-3.862198163181906e-12,-7.5544913544686955e-06,-2.092036174128244e-06,7.497993884598072e-07,8.338230052790791e-08,5.009284161349817e-10,5.2077353419254025e-12,0.0026776791155710103,0.0007148323704437905,-0.00011564330186907626,-1.5608768018963473e-05,-7.964296692902369e-08,5.113969312668184e-10,0.023693731588773755,0.06601797551447515,-0.05488856786062989,-0.0017281914249744296,-6.9489935707966625e-06,2.162178998333392e-07,-4.8097232960473065e-06,-0.00017959757064303145,3.35852251309023e-05,5.7295280608777604e-06,3.735595782675216e-08,-5.551533322655933e-11
dB/dt tg03,-5.531593578624997e-06,-3.742144296714744e-06,-1.3116361676976605e-07,1.7918349227603915e-08,5.310068458264835e-11,-4.5970479955488205e-06,-1.482908878314624e-06,3.907075647263628e-07,1.1970511411972188e-07,1.7443138515120427e-09,6.984325283571842e-12,0.0013728448285921374,0.0004922751743633205,-4.565165448361936e-05,-2.1937765633648234e-05,-2.7650616615097605e-07,2.194075047182693e-10,0.014147429876375937,0.07062272254770212,-0.04501561320239984,-0.00297337533346779,-2.5331605517286335e-05,2.044847133507355e-07,-2.9250973230746565e-06,-0.00011360985017799548,7.279798547933688e-06,7.802471008778849e-06,1.2902255552935457e-07,1.6283294541737456e-10
dB/dt tg04,-4.698198657113701e-06,-4.41454768092117e-06,-8.245598846072686e-08,5.048338693469632e-08,1.5016468300173509e-10,-2.582568995625434e-06,-9.484150421984516e-07,3.778444036494261e-08,1.478331570048123e-07,6.480374718478082e-09,1.1759268951627434e-11,0.0005894720554918458,0.00030027600634122473,1.989430375457508e-05,-2.6248255343194356e-05,-1.0016480030454342e-06,-4.2250270409908036e-10,0.0077235681969648464,0.06723803336103751,-0.03059968384723447,-0.00452366138216941,-0.00011918200470595927,8.689356444136238e-08,-1.6395375944137378e-06,-6.111503229395409e-05,-1.5010614825122768e-05,8.974362564101352e-06,4.518266897669279e-07,6.130865657139534e-10
dB/dt tg05,-3.424323514356832e-06,-3.891757957351011e-06,3.448130336137791e-08,1.085706364580383e-07,2.339633426357775e-09,-1.3416976995835303e-06,-5.58427177693664e-07,-2.155061385087634e-07,1.4453781877380263e-07,1.744913977406582e-08,1.2805802598643065e-10,0.0001805123773954827,0.00016378216343894915,6.258697579436366e-05,-2.4234307401719065e-05,-2.626946253272203e-06,-1.6873342469886334e-08,0.0038379939833348424,0.05777338289466508,-0.014008602957435563,-0.005785482787092902,-0.0003916602326792133,-2.269269245658519e-06,-8.47756409116742e-07,-2.756312926585286e-05,-2.6694644681915852e-05,7.815584071751095e-06,1.1465863827449976e-06,1.2243453587590133e-08
dB/dt tg06,-2.3882404006434535e-06,-3.061381725497634e-06,1.35295231079658e-07,1.5501637992882358e-07,1.0497762768987898e-08,-7.905513463899031e-07,-3.560437350384227e-07,-3.1144637305372394e-07,1.1384510153635261e-07,2.9604776464686613e-08,6.22033936180784e-10,3.9219820908467334e-05,9.54851408160229e-05,7.479775340489646e-05,-1.7555895794049775e-05,-4.331039286748887e-06,-8.579608616294851e-08,0.002157017819410707,0.048437872961470854,-0.002607251340413143,-0.0058885708764359265,-0.0007930589509430021,-1.285730762705e-05,-4.96594551011255e-07,-1.287497011936126e-05,-2.7917057251492803e-05,5.322132044100143e-06,1.8284247178996222e-06,6.057703403349425e-08
dB/dt tg07,-1.6377593134046451e-06,-2.335325624448336e-06,1.9923600386918154e-07,1.821471528485592e-07,2.6243585674533096e-08,-5.159664315524441e-07,-2.4120380052705374e-07,-3.302425216223075e-07,7.636232209619687e-08,3.844250392041504e-08,1.9582102249131635e-09,-1.0376037159790685e-05,5.831909132897664e-05,7.31117186135494e-05,-1.0152932523694638e-05,-5.461276505350412e-06,-2.644343121656755e-07,0.0013451399431366187,0.04059235686820325,0.00454880636719899,-0.005253665784361918,-0.0011872334911271448,-4.625120693035577e-05,-3.220983401895342e-07,-5.948900404714707e-06,-2.5231663508284603e-05,2.8246246811441333e-06,2.244296717594404e-06,1.8321781086579647e-07
dB/dt tg08,-9.313484360149928e-07,-1.5742631732425435e-06,2.3427390120489453e-07,1.9173525955715705e-07,5.900336991703984e-08,-3.111422832279204e-07,-1.482698748586997e-07,-3.0297462117789e-07,3.012438800517337e-08,4.2280123539201674e-08,5.618851445342341e-09,-3.340540683361206e-05,2.9855432239848045e-05,6.222356778443067e-05,-1.677968881615575e-06,-5.701018022897798e-06,-7.377470634816309e-07,0.0007599780365733447,0.031826669744437514,0.009903758615672211,-0.0037944772145642627,-0.0015810306684392054,-0.00014713309507228859,-1.9247592767546482e-07,-1.5307635009634877e-06,-1.989617861343195e-05,2.109509641410617e-07,2.264367698629519e-06,5.04419222660367e-07
dB/dt tg09,-3.889215672528071e-07,-9.240870772328314e-07,2.2268149208483344e-07,1.7379289312960706e-07,9.959427084346253e-08,-1.760512018356674e-07,-8.278931237555381e-08,-2.3789188212439996e-07,-1.0893385168487675e-08,3.580710767310564e-08,1.2986884731024362e-08,-3.779724752599267e-05,1.1556903023313671e-05,4.4935930226223486e-05,5.077878811815217e-06,-4.3702035508986965e-06,-1.6328903453602896e-06,0.00039218283420355376,0.023170128720778508,0.012185155063833835,-0.0017685882239052938,-0.0017021150148006834,-0.00038173150787883833,-1.0755460824490855e-07,5.094925620765392e-07,-1.3368152235363614e-05,-1.6496913241911693e-06,1.6824776896962715e-06,1.1071370515246213e-06
dB/dt tg10,-1.232741899591144e-07,-5.637271588505925e-07,1.831183456886346e-07,1.41027861599638e-07,1.1918036128900834e-07,-1.1003935343586345e-07,-4.922584918828837e-08,-1.783812969672237e-07,-2.96091469769579e-08,2.3859337023704317e-08,2.0697746068615806e-08,-3.456742442361297e-05,3.3118706309832587e-06,3.111482423451027e-05,7.507453922514689e-06,-2.430623968023989e-06,-2.502428558993627e-06,0.000222332005012591,0.01723773051889921,0.011782043539235808,-0.0002732650175484229,-0.0014641137761034941,-0.0006617201551323625,-6.638438769788594e-08,1.0113576905645286e-06,-8.859475624875857e-06,-2.181735726713265e-06,9.385998057356737e-07,1.6948537117261298e-06
dB/dt tg11,4.551632461267383e-09,-3.604432740740696e-07,1.3716951962498117e-07,1.044590013535057e-07,1.162147581382176e-07,-7.358349968264451e-08,-3.041566483561878e-08,-1.3198331407607843e-07,-3.554964482925143e-08,1.29881021124651e-08,2.6522517279454956e-08,-3.032219511694078e-05,-6.209780463537913e-07,2.117184640203494e-05,7.71956285885587e-06,-8.28856253308386e-07,-3.086581653310962e-06,0.0001335003858219243,0.013061032290092372,0.010452663474405544,0.000651447614167102,-0.0010997457108668912,-0.0009074235296161596,-4.382328332882866e-08,1.0297002223988894e-06,-5.900088106367685e-06,-2.1230034758905203e-06,3.6170240657603916e-07,2.1020244136737625e-06
dB/dt tg12,7.615795760700422e-08,-2.0721952812546075e-07,7.651675138515258e-08,5.567241238649745e-08,8.945044117141391e-08,-4.410980231906731e-08,-1.550570481342294e-08,-8.508135171522768e-08,-3.371153035319505e-08,1.986516536211492e-09,3.0879651354789213e-08,-2.5057566848556718e-05,-3.0419085807824478e-06,1.1879849912170452e-05,6.4753713694298215e-06,6.166192494176231e-07,-3.4040388105536147e-06,6.572771446308432e-05,0.008944922811708085,0.008232709368452058,0.0012791620489593552,-0.0005801034709687055,-0.0011434943270593773,-2.573380865284352e-08,8.398604103056839e-07,-3.3422832704558315e-06,-1.696657553369623e-06,-1.286740830236769e-07,2.3556366087342096e-06
dB/dt tg13,9.037558723958127e-08,-1.1553296577911332e-07,1.6601004989230227e-08,6.5219764092662835e-09,4.4803562856671456e-08,-2.37697930477843e-08,-5.767619682284445e-09,-4.647010709682516e-08,-2.5729148672269645e-08,-5.433984857782798e-09,3.038322832140476e-08,-1.9487429216338613e-05,-3.860731489396647e-06,4.980241862118494e-06,4.354328508511516e-06,1.3878060300872244e-06,-3.1036379898982e-06,2.3052734459781275e-05,0.005435405212730177,0.00561019194529809,0.0014259419676757694,-7.945030873194147e-05,-0.00122393779805047,-1.3396463441657636e-08,5.449828280673009e-07,-1.5750597221640296e-06,-1.1094543792852e-06,-3.8325693084206186e-07,2.231357067426248e-06
dB/dt tg14,7.600809446408272e-08,-7.787952942887243e-08,-1.8143508112430785e-08,-2.235593755919104e-08,9.971393630359426e-09,-1.3772362233645471e-08,-1.5020377852537007e-09,-2.5457216869270676e-08,-1.809554907135128e-08,-7.795439035642336e-09,2.6003709026584743e-08,-1.539594808392888e-05,-3.665809892236272e-06,1.7058581117969477e-06,2.709040213452552e-06,1.4603227970592345e-06,-2.438928092563617e-06,4.814429484691168e-06,0.0033446164643886776,0.0037201000320900676,0.0012514522225651659,0.00019293561013397604,-0.0011224608461448617,-7.427228969736883e-09,3.232254450685096e-07,-7.761440126595503e-07,-7.013736464611395e-07,-4.1567579021783644e-07,1.8570237175353777e-06
