name	ri	minT(us)	maxT(us)	lam	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
L01	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	6	1.19e-05	  3.020	  0.966	 1.7
L01	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	4	1.35e-05	  4.512	  0.814	 1.2
L01	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	4	1.19e-05	  6.543	  0.874	 1.2
L01	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	4	1.20e-05	  8.766	  0.949	 1.2
L02	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	5	1.43e-05	  3.110	  0.979	 1.4
L02	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	4	1.46e-05	  4.045	  0.654	 1.2
L02	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	4	1.23e-05	  5.804	  0.687	 1.2
L02	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	4	1.21e-05	  7.879	  0.766	 1.2
L03	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	13	9.20e-06	  4.360	  0.984	 3.3
L03	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	6	1.84e-05	  5.427	  0.944	 1.7
L03	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	5	1.61e-05	  6.347	  0.822	 1.4
L03	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	4	1.22e-05	  8.696	  0.934	 1.2
L04	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	4	6.31e-06	  2.537	  0.648	 1.2
L04	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	4	1.02e-05	  4.061	  0.660	 1.2
L04	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	4	1.63e-05	  6.485	  0.858	 1.2
L04	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	4	2.24e-05	  8.743	  0.944	 1.2
L05	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	5	1.09e-05	  2.827	  0.888	 1.4
L05	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	5	1.76e-05	  4.422	  0.782	 1.4
L05	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	5	2.81e-05	  6.318	  0.815	 1.4
L05	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	5	3.39e-05	  8.813	  0.959	 1.4
L06	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	10	2.97e-05	  2.889	  0.927	 2.6
L06	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	12	6.23e-05	  4.998	  0.999	 3.1
L06	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	12	9.34e-05	  6.691	  0.914	 3.1
L06	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	12	1.18e-04	  8.400	  0.871	 3.1
L07	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	10	2.16e-05	  2.963	  0.975	 2.6
L07	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	9	2.96e-05	  4.310	  0.743	 2.4
L07	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	8	3.76e-05	  6.570	  0.881	 2.1
L07	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	8	3.81e-05	  7.897	  0.770	 2.1
L09	r000	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.03	25	8	3.30e-05	  2.691	  0.805	 2.2
L09	r001	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.05	25	10	4.89e-05	  4.160	  0.692	 2.6
L09	r002	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.07	25	11	6.42e-05	  6.806	  0.945	 2.9
L09	r003	5.0	200.0	  1500.0	1.0e+02	8.0e-01	0.09	25	12	7.23e-05	  8.304	  0.851	 3.1
