name,X,Y,Z
P08-25,-65040.401261712,344463.392690449,434.08499
P07-12,-65096.8324218314,344426.661135317,416.34601
P06-12,-65122.1108304537,344407.801422349,405.38501
L10-12,-65125.033126587,344399.160664131,402.76401
P01-12,-65150.3907228902,344383.773453626,399.23499
P01-25,-65164.7550181933,344385.825495812,398.32401
P02-12,-65166.1914477236,344374.33405957,397.12
P03-12,-65188.96911599,344354.224046146,393.54999
P04-25,-65216.0560728474,344330.420356786,390.40399
P05-25,-65319.0685905927,344252.853162149,384.84399
