name	ri	minT(us)	maxT(us)	lam	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
L50-02	r000	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.05	25	16	4.61e-06	 24.036	 23.109	 4.1
L50-02	r001	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.08	25	20	4.61e-06	 23.928	  8.946	 5.1
L50-02	r002	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.11	25	23	4.81e-06	 24.345	  4.898	 5.8
L50-02	r003	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.14	25	24	4.88e-06	 24.094	  2.962	 6.0
L50-04	r000	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.05	25	16	5.89e-06	 25.932	 26.898	 4.1
L50-04	r001	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.08	25	20	5.84e-06	 25.674	 10.299	 5.1
L50-04	r002	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.11	25	23	5.98e-06	 26.069	  5.617	 5.8
L50-04	r003	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.14	25	24	6.11e-06	 25.661	  3.360	 6.0
L50-06	r000	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.05	25	17	6.69e-06	 25.895	 26.823	 4.4
L50-06	r001	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.08	25	21	6.69e-06	 25.581	 10.225	 5.3
L50-06	r002	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.11	25	24	6.81e-06	 25.974	  5.576	 6.0
L50-06	r003	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.14	25	24	7.57e-06	 25.861	  3.412	 6.0
L50-08	r000	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.05	25	14	2.58e-06	 19.324	 14.937	 3.6
L50-08	r001	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.08	25	18	2.47e-06	 19.202	  5.761	 4.5
L50-08	r002	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.11	25	21	2.40e-06	 18.979	  2.977	 5.2
L50-08	r003	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.14	25	23	2.39e-06	 18.985	  1.839	 5.7
L50-10	r000	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.05	25	14	2.08e-06	 18.105	 13.111	 3.6
L50-10	r001	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.08	25	17	2.05e-06	 17.993	  5.059	 4.3
L50-10	r002	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.11	25	20	1.98e-06	 17.748	  2.603	 5.0
L50-10	r003	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.14	25	22	1.97e-06	 17.696	  1.598	 5.5
L50-12	r000	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.05	25	13	1.57e-06	 14.576	  8.499	 3.4
L50-12	r001	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.08	25	17	1.47e-06	 14.307	  3.198	 4.3
L50-12	r002	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.11	25	19	1.47e-06	 14.212	  1.669	 4.7
L50-12	r003	12.0	100.0	  1500.0	1.0e+02	8.0e-01	0.14	25	22	1.42e-06	 14.040	  1.006	 5.5
