,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,7.5070140581034314e-06,-2.2469150793532146e-07,-1.3528004524498235e-07,-2.2802622831010787e-08,-2.517719358411805e-06,-7.141758384338591e-08,1.0493756488467012e-09,2.6652841174309905e-10,-6.181847464346754e-10,-3.3677796010770723e-09,-3.0304915735161515e-07,0.0001830728737229882,-3.8989441913575315e-05,-3.103153032324474e-05,-2.5800315692038717e-05,-0.00023074371448997128,0.005038282280748572,0.13293702225789625,0.2676902313841146,0.15860049963284228,0.11780585004650145,0.4746710898784901,0.6602971623327639,-4.405604295047232e-05,3.32606175859462e-05,3.289359463628465e-05,3.506199262444442e-05,0.0002631226410027061,-0.0017281787105051327
dB/dt tg02,5.832739978271158e-06,6.625124695663111e-07,5.624313771709146e-07,3.1173577696091853e-07,-4.115337215659434e-06,-3.808170268418093e-08,1.3109339695070736e-09,8.583299405356591e-10,5.102580992118678e-10,4.848888932793182e-09,-2.1487347626196956e-07,7.068129757668009e-05,-3.438751687150134e-05,-3.12773496067491e-05,-3.3132804817788206e-05,-0.0002992058168819316,0.0035531382493404033,0.06882977543447412,0.18140540981526662,0.11144727728080735,0.08395433360173891,0.30839632139712697,0.4688764397706513,-2.344916118880637e-05,2.419480292905868e-05,2.6899168506437825e-05,3.319735667742773e-05,0.00026312402070287566,-0.0012265501914765328
dB/dt tg03,4.071538480909703e-06,8.280500880102127e-07,6.505684321146715e-07,2.7654349398607476e-07,-4.120558497190447e-06,-1.7657007328900117e-08,1.2198373807881297e-09,9.935374988828606e-10,9.413968911210711e-10,7.499846546905113e-09,-1.3819143061195321e-07,1.1894648381792172e-05,-2.5977057708699417e-05,-2.576163364918922e-05,-3.0310554141932305e-05,-0.0002600417681822112,0.002270687339262862,0.030217944937565036,0.10061692247605818,0.06689506866415679,0.051791011296515414,0.16251825694977032,0.3020320292262817,-1.0831450853391999e-05,1.4461496445984935e-05,1.8358380785873667e-05,2.5279034155032328e-05,0.00020202150411397366,-0.00078971026488813
dB/dt tg04,2.5699273254066322e-06,6.536926317829063e-07,4.715638809452443e-07,1.2717049153859633e-07,-3.1950045716153627e-06,-7.192960143040291e-09,9.289187352762767e-10,8.39252633614581e-10,9.028697294224488e-10,6.6316686061743686e-09,-8.142207940165101e-08,-9.947821562060683e-06,-1.6729852365293163e-05,-1.7836034555079223e-05,-2.225565076274855e-05,-0.00017476721825239832,0.0013280572293721733,0.011024415591733241,0.038740556717897084,0.03184217401326949,0.026327557491694197,0.060908063272478434,0.17824868916546507,-4.37632571648181e-06,6.627038507319456e-06,1.0249912012379562e-05,1.5756256461959447e-05,0.00012418070752392708,-0.00046586590828520804
dB/dt tg05,1.71105303366422e-06,4.869576650000802e-07,3.240091308339547e-07,4.2972121670469556e-08,-2.3398118554909017e-06,-3.2503634311558853e-09,6.795265796587721e-10,6.509404318253867e-10,7.363002700228023e-10,5.1088299273908965e-09,-5.2023642854947333e-08,-1.4029936131049691e-05,-1.076538957639663e-05,-1.2188504570362501e-05,-1.5752261043198462e-05,-0.00011380136345620864,0.0008431526619244285,0.004112908283672802,0.008510317921517322,0.013657743295657701,0.012923049805868829,0.0161981426068599,0.1140285166601498,-1.950633397848346e-06,2.808035500658794e-06,5.672870439264345e-06,9.714212747678428e-06,7.56376664137082e-05,-0.0002979519689974275
dB/dt tg06,1.1896786377215384e-06,3.6286273344173236e-07,2.22318838562255e-07,-1.4911011880579146e-09,-1.7093386229896426e-06,-1.6215734126213464e-09,4.956303708454428e-10,4.962930461831595e-10,5.779324932763065e-10,3.8259989567675305e-09,-3.539817812018848e-08,-1.3279303719124233e-05,-7.019538911403382e-06,-8.410640860963834e-06,-1.1168389528992899e-05,-7.480900352008743e-05,0.0005704499373566022,0.001452223829416409,-0.005730278660206933,0.0041384289136256825,0.0056911661492200375,-0.0034063359645017,0.07765813803064392,-9.529105323957793e-07,1.002945152347797e-06,3.119259022426285e-06,6.026201548465921e-06,4.6680419055231725e-05,-0.00020289639174239426
dB/dt tg07,7.467677034445094e-07,2.457581828553632e-07,1.3402912331384234e-07,-2.7760081195864363e-08,-1.1095523444470338e-06,-6.914964227551385e-10,3.1870804049510744e-10,3.3732226832378095e-10,4.045383577503382e-10,2.528824808455428e-09,-2.20592289824389e-08,-1.0629644958423009e-05,-3.886132470476433e-06,-5.052146168671312e-06,-6.944609631317418e-06,-4.227986509213332e-05,0.0003529012801849889,0.00011885152916940329,-0.013216578900653664,-0.002183506395877641,0.0005770838718006019,-0.013281223431127023,0.048437790345257206,-3.8791316380466073e-07,-1.5086537849325769e-09,1.2709726575855496e-06,3.066095427865185e-06,2.4020616092939425e-05,-0.00012655468038508713
dB/dt tg08,4.2852643994084416e-07,1.56598709747204e-07,7.517932775837244e-08,-3.225846239641018e-08,-6.484102529727654e-07,-2.474296313642786e-10,1.8075866633908247e-10,2.05445102888577e-10,2.5483912743050666e-10,1.4984927403089634e-09,-1.2896873247564006e-08,-7.588108269221511e-06,-1.819532552876412e-06,-2.649009542810015e-06,-3.814068446563144e-06,-2.1065764769281244e-05,0.00020449510750991217,-0.0003579283383762671,-0.013682635213558045,-0.004730158667816883,-0.0019391227775252021,-0.014407623038191382,0.02833840331156071,-1.2287475026277896e-07,-2.3218400758117544e-07,3.214178839961044e-07,1.25087174466613e-06,1.05020940735882e-05,-7.405731119776385e-05
dB/dt tg09,2.642522096312357e-07,1.0635443158317184e-07,4.6678983286445435e-08,-2.7578567159718573e-08,-4.0237958029594716e-07,-1.0213218994104665e-10,1.0729758228331557e-10,1.3047326993872171e-10,1.669005913836965e-10,9.369068424682156e-10,-8.272081445921566e-09,-5.501216859269634e-06,-9.033467927688366e-07,-1.4704148352718049e-06,-2.215787562147744e-06,-1.1445377936307624e-05,0.00013012788229690097,-0.000411101949090266,-0.011130436314317064,-0.004776286852071758,-0.0024870632045389364,-0.012046232338586486,0.018180911909589398,-3.947698293776372e-08,-1.4096014090957547e-07,4.47841817624577e-08,5.232285229822775e-07,5.053385007727712e-06,-4.753068871318527e-05
dB/dt tg10,1.7389100959156597e-07,7.594279134883399e-08,3.157048454123408e-08,-2.1865139381876333e-08,-2.655194971046631e-07,-5.051413440056552e-11,6.71576692226662e-11,8.683395806763818e-11,1.1426144200113812e-10,6.204365437761152e-10,-5.724260171961071e-09,-4.121703602089813e-06,-4.860970223701813e-07,-8.716116442865871e-07,-1.3691977565647407e-06,-6.809647336723572e-06,8.942904718837287e-05,-0.00036725302590303764,-0.00840016509272236,-0.004117547685285086,-0.0023693010643148203,-0.009434925380746048,0.012580605245674562,-1.2034910969617765e-08,-2.477303913599262e-08,-8.960033778331843e-09,2.3498123326050705e-07,2.764627940188617e-06,-3.290494378945735e-05
