id,x,y,z,td_cum,sd,sd_cum
1,-28549.449,212726.917,3030.88,0,0,0
2,-28553.763,212718.458,3026.908,10,10.3,10.29
3,-28558.525,212710.435,3023.362,20,10,20.27
4,-28562.243,212702.284,3019.967,30,9.6,29.85
5,-28565.036,212696.511,3017.711,37.5,6.8,36.65
6,-28565.967,212694.587,3016.959,40,2.3,38.92
7,-28571.178,212685.968,3013.487,50,10.7,49.57
8,-28575.645,212677.01,3010.211,60,10.5,60.1
9,-28579.409,212669.453,3007.424,70,8.9,68.99
10,-28583.789,212660.457,3004.33,80,10.5,79.47
11,-28587.643,212652.121,3001.534,90,9.6,89.07
12,-28592.829,212642.964,2998.511,100,10.9,100.02
