tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.52623e-02,1.02023e-02,7.22703e-03,5.31759e-03,3.62799e-03,2.30877e-03,1.57505e-03,1.13585e-03,7.61301e-04,4.77257e-04,3.20071e-04,2.24887e-04,1.42625e-04,8.15607e-05,4.92965e-05,3.13157e-05,1.66753e-05,7.83405e-06,3.82896e-06,1.86326e-06,5.28912e-07,-9.86496e-08,-2.81433e-07,-3.18514e-07,-2.94893e-07,-2.33473e-07,-1.81282e-07,-1.42008e-07,-1.02771e-07,-6.90130e-08,-4.89095e-08,-3.62421e-08
7.52839e-03,4.46231e-03,2.92372e-03,2.03801e-03,1.31757e-03,7.90605e-04,5.08810e-04,3.44384e-04,2.09002e-04,1.13251e-04,6.57250e-05,4.02117e-05,2.10424e-05,9.20775e-06,4.10926e-06,1.76804e-06,2.55306e-07,-3.69462e-07,-5.09058e-07,-5.03645e-07,-4.29454e-07,-3.27316e-07,-2.49813e-07,-1.94146e-07,-1.40552e-07,-9.42223e-08,-6.72823e-08,-5.01678e-08,-3.48444e-08,-2.27101e-08,-1.58548e-08,-1.16542e-08
8.20822e-03,4.87214e-03,3.18789e-03,2.21896e-03,1.43414e-03,8.62873e-04,5.57521e-04,3.78663e-04,2.30509e-04,1.24950e-04,7.22634e-05,4.39167e-05,2.26315e-05,9.55552e-06,3.98736e-06,1.47729e-06,-8.94699e-08,-6.77588e-07,-7.62070e-07,-7.08121e-07,-5.79346e-07,-4.30204e-07,-3.23626e-07,-2.49143e-07,-1.78735e-07,-1.18797e-07,-8.43419e-08,-6.26171e-08,-4.32895e-08,-2.80819e-08,-1.95372e-08,-1.43224e-08
1.27895e-02,7.91894e-03,5.24276e-03,3.62576e-03,2.28672e-03,1.32415e-03,8.28880e-04,5.47483e-04,3.17568e-04,1.53417e-04,7.15639e-05,2.88596e-05,-3.73025e-07,-1.41655e-05,-1.67814e-05,-1.58469e-05,-1.29247e-05,-9.39553e-06,-6.84833e-06,-5.08878e-06,-3.39978e-06,-2.13284e-06,-1.43009e-06,-1.00997e-06,-6.60458e-07,-3.98278e-07,-2.63169e-07,-1.84482e-07,-1.19403e-07,-7.20790e-08,-4.73703e-08,-3.31326e-08
8.63707e-03,5.15778e-03,3.38560e-03,2.36142e-03,1.53043e-03,9.25556e-04,6.01845e-04,4.11514e-04,2.52845e-04,1.38672e-04,8.10486e-05,4.97443e-05,2.60072e-05,1.12430e-05,4.86503e-06,1.94567e-06,8.31466e-08,-6.53313e-07,-7.88833e-07,-7.51285e-07,-6.25264e-07,-4.69422e-07,-3.55243e-07,-2.74514e-07,-1.97612e-07,-1.31740e-07,-9.37090e-08,-6.96663e-08,-4.82318e-08,-3.13331e-08,-2.18227e-08,-1.60117e-08
8.20849e-03,4.87295e-03,3.18922e-03,2.22060e-03,1.43581e-03,8.64169e-04,5.58346e-04,3.79107e-04,2.30599e-04,1.24805e-04,7.20369e-05,4.36736e-05,2.24054e-05,9.37130e-06,3.84199e-06,1.36237e-06,-1.71216e-07,-7.31962e-07,-7.99798e-07,-7.35263e-07,-5.96854e-07,-4.40786e-07,-3.30484e-07,-2.53830e-07,-1.81665e-07,-1.20458e-07,-8.53783e-08,-6.33061e-08,-4.37057e-08,-2.83129e-08,-1.96785e-08,-1.44153e-08
7.99201e-03,4.75395e-03,3.11622e-03,2.17247e-03,1.40646e-03,8.47419e-04,5.47893e-04,3.72197e-04,2.26535e-04,1.22708e-04,7.08883e-05,4.30185e-05,2.21058e-05,9.27605e-06,3.82526e-06,1.37606e-06,-1.43771e-07,-7.04717e-07,-7.77041e-07,-7.17011e-07,-5.83849e-07,-4.32288e-07,-3.24701e-07,-2.49744e-07,-1.79028e-07,-1.18918e-07,-8.43986e-08,-6.26458e-08,-4.33014e-08,-2.80857e-08,-1.95384e-08,-1.43226e-08
8.20033e-03,4.84668e-03,3.14467e-03,2.16558e-03,1.38156e-03,8.27010e-04,5.40092e-04,3.74637e-04,2.37101e-04,1.36298e-04,8.35321e-05,5.37117e-05,3.00832e-05,1.45055e-05,7.29800e-06,3.75171e-06,1.25398e-06,4.52387e-08,-3.47212e-07,-4.57723e-07,-4.53218e-07,-3.74796e-07,-2.97744e-07,-2.36832e-07,-1.74763e-07,-1.18833e-07,-8.54514e-08,-6.39504e-08,-4.45222e-08,-2.90383e-08,-2.02621e-08,-1.48795e-08
1.72511e-02,1.22713e-02,9.11794e-03,6.96732e-03,4.94894e-03,3.26495e-03,2.26788e-03,1.64284e-03,1.09175e-03,6.68098e-04,4.37805e-04,3.03016e-04,1.90790e-04,1.09737e-04,6.67358e-05,4.20845e-05,2.11517e-05,7.96681e-06,1.95748e-06,-8.41636e-07,-2.43347e-06,-2.75479e-06,-2.48632e-06,-2.11131e-06,-1.62909e-06,-1.12896e-06,-8.08258e-07,-5.96274e-07,-4.03727e-07,-2.52423e-07,-1.69150e-07,-1.19737e-07
1.05608e-02,6.63607e-03,4.51470e-03,3.22811e-03,2.14160e-03,1.32870e-03,8.90384e-04,6.32704e-04,4.16106e-04,2.54705e-04,1.67249e-04,1.15315e-04,7.12540e-05,3.91477e-05,2.24486e-05,1.32730e-05,5.95628e-06,1.73244e-06,-1.89683e-08,-7.57043e-07,-1.10558e-06,-1.09206e-06,-9.45965e-07,-7.91329e-07,-6.07737e-07,-4.23131e-07,-3.05228e-07,-2.26742e-07,-1.54633e-07,-9.71036e-08,-6.50125e-08,-4.58202e-08
5.55858e-03,3.28215e-03,2.14352e-03,1.49042e-03,9.64400e-04,5.85895e-04,3.85944e-04,2.69103e-04,1.71365e-04,9.96738e-05,6.21662e-05,4.08989e-05,2.38784e-05,1.24025e-05,6.89353e-06,4.05505e-06,1.91592e-06,7.41086e-07,2.61770e-07,5.14983e-08,-6.91303e-08,-1.05904e-07,-1.02829e-07,-9.07472e-08,-7.28861e-08,-5.30747e-08,-3.97384e-08,-3.05568e-08,-2.18341e-08,-1.45663e-08,-1.03060e-08,-7.63635e-09
6.11728e-03,3.57471e-03,2.31193e-03,1.59166e-03,1.01663e-03,6.09827e-04,3.99737e-04,2.79184e-04,1.79537e-04,1.06611e-04,6.80477e-05,4.58023e-05,2.75990e-05,1.49460e-05,8.66071e-06,5.31762e-06,2.70648e-06,1.19864e-06,5.43350e-07,2.33407e-07,3.23126e-08,-5.44524e-08,-7.44633e-08,-7.41280e-08,-6.44715e-08,-4.95447e-08,-3.81276e-08,-2.98076e-08,-2.16072e-08,-1.45782e-08,-1.03803e-08,-7.72173e-09
7.69327e-03,4.68613e-03,3.11880e-03,2.19307e-03,1.43000e-03,8.73310e-04,5.79645e-04,4.09587e-04,2.68354e-04,1.64272e-04,1.08367e-04,7.53710e-05,4.75101e-05,2.72533e-05,1.66674e-05,1.07727e-05,5.93666e-06,2.95980e-06,1.56920e-06,8.60097e-07,3.50653e-07,8.34004e-08,-1.38468e-08,-4.94391e-08,-6.17204e-08,-5.66546e-08,-4.71190e-08,-3.84765e-08,-2.89148e-08,-2.00451e-08,-1.44867e-08,-1.08738e-08
5.55601e-03,3.27573e-03,2.13260e-03,1.47619e-03,9.48817e-04,5.73056e-04,3.77552e-04,2.64667e-04,1.70808e-04,1.01706e-04,6.49997e-05,4.37696e-05,2.63686e-05,1.42609e-05,8.24546e-06,5.04766e-06,2.55327e-06,1.11683e-06,4.95438e-07,2.03385e-07,1.59730e-08,-6.26676e-08,-7.90267e-08,-7.68517e-08,-6.59079e-08,-5.02003e-08,-3.84639e-08,-2.99926e-08,-2.16923e-08,-1.46093e-08,-1.03915e-08,-7.72480e-09
5.55687e-03,3.27640e-03,2.13313e-03,1.47660e-03,9.49129e-04,5.73275e-04,3.77714e-04,2.64793e-04,1.70899e-04,1.01770e-04,6.50467e-05,4.38055e-05,2.63940e-05,1.42775e-05,8.25691e-06,5.05588e-06,2.55852e-06,1.11998e-06,4.97438e-07,2.04719e-07,1.67472e-08,-6.22605e-08,-7.87992e-08,-7.67201e-08,-6.58464e-08,-5.01822e-08,-3.84631e-08,-2.99991e-08,-2.17024e-08,-1.46199e-08,-1.04010e-08,-7.73298e-09
5.74241e-03,3.41730e-03,2.24208e-03,1.56233e-03,1.01202e-03,6.16420e-04,4.08903e-04,2.88360e-04,1.87560e-04,1.12805e-04,7.27399e-05,4.93539e-05,2.99808e-05,1.63112e-05,9.41961e-06,5.71244e-06,2.79195e-06,1.09963e-06,3.71784e-07,3.79709e-08,-1.61855e-07,-2.25294e-07,-2.18876e-07,-1.95159e-07,-1.59052e-07,-1.17491e-07,-8.85871e-08,-6.82393e-08,-4.85730e-08,-3.19788e-08,-2.22154e-08,-1.61244e-08
7.01006e-03,4.18115e-03,2.73410e-03,1.89279e-03,1.21082e-03,7.23376e-04,4.71389e-04,3.27645e-04,2.09786e-04,1.24138e-04,7.88940e-05,5.27078e-05,3.11924e-05,1.62237e-05,8.84879e-06,4.99696e-06,2.09073e-06,5.29540e-07,-6.64958e-08,-2.94905e-07,-3.83409e-07,-3.57722e-07,-3.00821e-07,-2.47430e-07,-1.87891e-07,-1.30673e-07,-9.50772e-08,-7.16129e-08,-5.00595e-08,-3.26646e-08,-2.27358e-08,-1.66326e-08
5.55687e-03,3.27642e-03,2.13318e-03,1.47670e-03,9.49277e-04,5.73464e-04,3.77903e-04,2.64957e-04,1.71017e-04,1.01830e-04,6.50679e-05,4.38036e-05,2.63755e-05,1.42518e-05,8.23120e-06,5.03242e-06,2.53924e-06,1.10544e-06,4.86416e-07,1.96234e-07,1.08328e-08,-6.61160e-08,-8.14431e-08,-7.86085e-08,-6.70848e-08,-5.09204e-08,-3.89406e-08,-3.03255e-08,-2.19056e-08,-1.47360e-08,-1.04735e-08,-7.78144e-09
