tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.66466e-02,1.15660e-02,8.44170e-03,6.36324e-03,4.45936e-03,2.91335e-03,2.02105e-03,1.47273e-03,9.96915e-04,6.33252e-04,4.32057e-04,3.09971e-04,2.03217e-04,1.21719e-04,7.68842e-05,5.08751e-05,2.87496e-05,1.46355e-05,7.85834e-06,4.33906e-06,1.77593e-06,4.17271e-07,-7.88676e-08,-2.59529e-07,-3.19904e-07,-2.91019e-07,-2.40424e-07,-1.95243e-07,-1.45789e-07,-1.00419e-07,-7.22702e-08,-5.41095e-08
8.87032e-03,5.37588e-03,3.56975e-03,2.51313e-03,1.64650e-03,1.00947e-03,6.65774e-04,4.62094e-04,2.90430e-04,1.64667e-04,9.96685e-05,6.34796e-05,3.52301e-05,1.68991e-05,8.52709e-06,4.44056e-06,1.57311e-06,1.79648e-07,-2.84378e-07,-4.26723e-07,-4.42785e-07,-3.74325e-07,-3.00787e-07,-2.41159e-07,-1.79510e-07,-1.23283e-07,-8.93799e-08,-6.73687e-08,-4.73192e-08,-3.11850e-08,-2.19492e-08,-1.62373e-08
1.00066e-02,6.11974e-03,4.07623e-03,2.87058e-03,1.87978e-03,1.15463e-03,7.65347e-04,5.34619e-04,3.39061e-04,1.94109e-04,1.18162e-04,7.54307e-05,4.18005e-05,1.98418e-05,9.79636e-06,4.90990e-06,1.51749e-06,-8.38210e-08,-5.79689e-07,-7.02504e-07,-6.69817e-07,-5.43538e-07,-4.28105e-07,-3.39006e-07,-2.49419e-07,-1.69424e-07,-1.21913e-07,-9.13675e-08,-6.37749e-08,-4.17578e-08,-2.92477e-08,-2.15534e-08
1.31742e-02,8.68629e-03,6.11796e-03,4.49570e-03,3.07630e-03,1.97538e-03,1.36143e-03,9.89829e-04,6.67614e-04,4.18463e-04,2.78969e-04,1.94392e-04,1.21657e-04,6.81582e-05,4.01725e-05,2.47110e-05,1.22555e-05,4.88202e-06,1.65957e-06,1.66059e-07,-7.35696e-07,-1.02613e-06,-1.00048e-06,-8.96000e-07,-7.35863e-07,-5.51072e-07,-4.22163e-07,-3.30948e-07,-2.42003e-07,-1.65695e-07,-1.19700e-07,-9.02236e-08
1.03856e-02,6.40072e-03,4.28581e-03,3.02925e-03,1.99099e-03,1.22839e-03,8.18365e-04,5.74964e-04,3.67940e-04,2.13365e-04,1.31536e-04,8.50120e-05,4.79720e-05,2.34136e-05,1.19748e-05,6.30587e-06,2.27245e-06,2.81045e-07,-3.93363e-07,-6.05029e-07,-6.34134e-07,-5.38611e-07,-4.33479e-07,-3.47637e-07,-2.58599e-07,-1.77290e-07,-1.28286e-07,-9.65105e-08,-6.76205e-08,-4.44334e-08,-3.11987e-08,-2.30340e-08
1.00066e-02,6.11995e-03,4.07672e-03,2.87135e-03,1.88081e-03,1.15569e-03,7.66224e-04,5.35257e-04,3.39399e-04,1.94179e-04,1.18098e-04,7.53051e-05,4.16481e-05,1.96967e-05,9.67182e-06,4.80588e-06,1.43914e-06,-1.38622e-07,-6.19074e-07,-7.31589e-07,-6.89128e-07,-5.55524e-07,-4.36019e-07,-3.44488e-07,-2.52892e-07,-1.71417e-07,-1.23166e-07,-9.22033e-08,-6.42812e-08,-4.20389e-08,-2.94194e-08,-2.16659e-08
9.78531e-03,5.99410e-03,3.99792e-03,2.81882e-03,1.84858e-03,1.13717e-03,7.54486e-04,5.27311e-04,3.34526e-04,1.91497e-04,1.16526e-04,7.43410e-05,4.11475e-05,1.94854e-05,9.58508e-06,4.77553e-06,1.44368e-06,-1.21643e-07,-6.00999e-07,-7.15378e-07,-6.76477e-07,-5.46686e-07,-4.29758e-07,-3.39942e-07,-2.49880e-07,-1.69617e-07,-1.22005e-07,-9.14140e-08,-6.37942e-08,-4.17639e-08,-2.92496e-08,-2.15537e-08
1.00051e-02,6.11195e-03,4.05730e-03,2.83970e-03,1.83799e-03,1.11277e-03,7.33575e-04,5.14856e-04,3.33075e-04,1.98679e-04,1.26649e-04,8.46554e-05,5.00797e-05,2.60784e-05,1.43117e-05,8.19201e-06,3.58453e-06,1.10018e-06,1.34239e-07,-2.53243e-07,-4.30743e-07,-4.30978e-07,-3.71385e-07,-3.09272e-07,-2.37274e-07,-1.66593e-07,-1.22095e-07,-9.25584e-08,-6.52581e-08,-4.30617e-08,-3.02883e-08,-2.23756e-08
1.64438e-02,1.18628e-02,8.95312e-03,6.95642e-03,5.06419e-03,3.45983e-03,2.48943e-03,1.86723e-03,1.30323e-03,8.51688e-04,5.93710e-04,4.35254e-04,2.96388e-04,1.89851e-04,1.29862e-04,9.35248e-05,6.03555e-05,3.66639e-05,2.36263e-05,1.58803e-05,9.26396e-06,4.85533e-06,2.67831e-06,1.51376e-06,6.68281e-07,1.56051e-07,-3.71852e-08,-1.12850e-07,-1.42855e-07,-1.35528e-07,-1.16030e-07,-9.72427e-08
1.04629e-02,6.59728e-03,4.50707e-03,3.23806e-03,2.16436e-03,1.35812e-03,9.21063e-04,6.62597e-04,4.43801e-04,2.79189e-04,1.88977e-04,1.34768e-04,8.80433e-05,5.30674e-05,3.41334e-05,2.32110e-05,1.38636e-05,7.75311e-06,4.68468e-06,2.99627e-06,1.65754e-06,8.34048e-07,4.54102e-07,2.60055e-07,1.23832e-07,4.25780e-08,1.11010e-08,-2.42614e-09,-9.69902e-09,-1.16961e-08,-1.10253e-08,-9.81431e-09
5.71042e-03,3.40350e-03,2.24078e-03,1.56933e-03,1.02481e-03,6.29983e-04,4.19864e-04,2.96266e-04,1.92043e-04,1.14644e-04,7.34773e-05,4.97210e-05,3.02936e-05,1.67725e-05,1.00149e-05,6.38106e-06,3.48870e-06,1.75733e-06,9.61746e-07,5.57220e-07,2.62976e-07,1.01683e-07,3.68856e-08,8.46299e-09,-7.56042e-09,-1.34583e-08,-1.35425e-08,-1.22523e-08,-1.01050e-08,-7.63957e-09,-5.88216e-09,-4.64369e-09
6.26568e-03,3.69589e-03,2.41036e-03,1.67220e-03,1.07851e-03,6.54655e-04,4.33739e-04,3.06038e-04,1.99696e-04,1.21097e-04,7.90136e-05,5.44073e-05,3.39261e-05,1.93216e-05,1.18273e-05,7.70276e-06,4.33997e-06,2.26678e-06,1.28510e-06,7.72298e-07,3.88009e-07,1.68572e-07,7.57543e-08,3.24852e-08,5.60060e-09,-7.19470e-09,-1.02204e-08,-1.03697e-08,-9.20154e-09,-7.28465e-09,-5.73811e-09,-4.58972e-09
7.84160e-03,4.81805e-03,3.23178e-03,2.28915e-03,1.50685e-03,9.30977e-04,6.24191e-04,4.45027e-04,2.95014e-04,1.83440e-04,1.22945e-04,8.69167e-05,5.61478e-05,3.33796e-05,2.12036e-05,1.42552e-05,8.37715e-06,4.59079e-06,2.71915e-06,1.70449e-06,9.13724e-07,4.38917e-07,2.26210e-07,1.20927e-07,4.99764e-08,1.04693e-08,-3.16390e-09,-8.04882e-09,-9.65095e-09,-8.82593e-09,-7.39942e-09,-6.12065e-09
5.70880e-03,3.39834e-03,2.23137e-03,1.55663e-03,1.01040e-03,6.17568e-04,4.11300e-04,2.91329e-04,1.90838e-04,1.16114e-04,7.59110e-05,5.23332e-05,3.26651e-05,1.86144e-05,1.13954e-05,7.41973e-06,4.17738e-06,2.17855e-06,1.23257e-06,7.38824e-07,3.69320e-07,1.58842e-07,7.01490e-08,2.90096e-08,3.65972e-09,-8.16396e-09,-1.07696e-08,-1.07077e-08,-9.38927e-09,-7.38081e-09,-5.79410e-09,-4.62552e-09
5.70896e-03,3.39847e-03,2.23148e-03,1.55672e-03,1.01047e-03,6.17620e-04,4.11341e-04,2.91362e-04,1.90864e-04,1.16133e-04,7.59255e-05,5.23449e-05,3.26740e-05,1.86208e-05,1.14002e-05,7.42347e-06,4.18006e-06,2.18041e-06,1.23393e-06,7.39860e-07,3.70050e-07,1.59335e-07,7.05041e-08,2.92772e-08,3.84958e-09,-8.03768e-09,-1.06792e-08,-1.06399e-08,-9.34163e-09,-7.34925e-09,-5.77175e-09,-4.60889e-09
5.74320e-03,3.42677e-03,2.25475e-03,1.57599e-03,1.02552e-03,6.28747e-04,4.19933e-04,2.98256e-04,1.96145e-04,1.20023e-04,7.89366e-05,5.47568e-05,3.44971e-05,1.99270e-05,1.23770e-05,8.18171e-06,4.72164e-06,2.55256e-06,1.50415e-06,9.44306e-07,5.12577e-07,2.54600e-07,1.38367e-07,7.99063e-08,3.92718e-08,1.50810e-08,5.57813e-09,1.35169e-09,-1.11558e-09,-2.07423e-09,-2.15223e-09,-1.99838e-09
7.36909e-03,4.48608e-03,2.98794e-03,2.10418e-03,1.37602e-03,8.44356e-04,5.63180e-04,3.99739e-04,2.63334e-04,1.62175e-04,1.07527e-04,7.51463e-05,4.77092e-05,2.76688e-05,1.71310e-05,1.12204e-05,6.32273e-06,3.25966e-06,1.79864e-06,1.03605e-06,4.70561e-07,1.57479e-07,3.31871e-08,-1.90655e-08,-4.52770e-08,-5.02916e-08,-4.54770e-08,-3.92082e-08,-3.11727e-08,-2.29116e-08,-1.73338e-08,-1.35129e-08
5.70896e-03,3.39849e-03,2.23152e-03,1.55679e-03,1.01060e-03,6.17788e-04,4.11511e-04,2.91513e-04,1.90975e-04,1.16193e-04,7.59500e-05,5.23475e-05,3.26601e-05,1.85990e-05,1.13775e-05,7.40237e-06,4.16238e-06,2.16684e-06,1.22350e-06,7.31747e-07,3.64318e-07,1.55543e-07,6.78723e-08,2.73780e-08,2.58859e-09,-8.80009e-09,-1.11781e-08,-1.09841e-08,-9.55813e-09,-7.47442e-09,-5.85058e-09,-4.66186e-09
1.32555e-02,8.83356e-03,6.16654e-03,4.43032e-03,2.89259e-03,1.71069e-03,1.07488e-03,7.10567e-04,4.19086e-04,2.20781e-04,1.26069e-04,7.66776e-05,4.04292e-05,1.84705e-05,9.05132e-06,4.66129e-06,1.69241e-06,2.91628e-07,-1.73738e-07,-3.24544e-07,-3.59116e-07,-3.14067e-07,-2.58231e-07,-2.11144e-07,-1.61141e-07,-1.14220e-07,-8.50941e-08,-6.56975e-08,-4.75467e-08,-3.24454e-08,-2.34997e-08,-1.78052e-08
8.41076e-03,7.31457e-03,6.53168e-03,5.92383e-03,5.25630e-03,4.56512e-03,4.04267e-03,3.63172e-03,3.16744e-03,2.67792e-03,2.30620e-03,2.01529e-03,1.69104e-03,1.36524e-03,1.13037e-03,9.57722e-04,7.66502e-04,5.93600e-04,4.72259e-04,3.82690e-04,2.86255e-04,2.01446e-04,1.46413e-04,1.09235e-04,7.47509e-05,4.59848e-05,2.99186e-05,2.01384e-05,1.18506e-05,5.81811e-06,2.76505e-06,1.10381e-06
9.91028e-03,6.32000e-03,4.37283e-03,3.18655e-03,2.17317e-03,1.39398e-03,9.56009e-04,6.88041e-04,4.54699e-04,2.76267e-04,1.79280e-04,1.22521e-04,7.55695e-05,4.24981e-05,2.57799e-05,1.66997e-05,9.38984e-06,4.94047e-06,2.85104e-06,1.76171e-06,9.40975e-07,4.62817e-07,2.51979e-07,1.47433e-07,7.54134e-08,3.25436e-08,1.53993e-08,7.46439e-09,2.41887e-09,-1.03056e-10,-8.83968e-10,-1.10108e-09
7.65587e-03,4.75465e-03,3.23530e-03,2.32410e-03,1.55227e-03,9.64623e-04,6.40453e-04,4.47076e-04,2.84115e-04,1.64925e-04,1.03114e-04,6.83356e-05,4.06375e-05,2.19582e-05,1.29026e-05,8.14716e-06,4.43980e-06,2.26310e-06,1.27389e-06,7.71365e-07,4.01858e-07,1.92258e-07,1.02074e-07,5.82220e-08,2.85947e-08,1.13811e-08,4.70201e-09,1.71519e-09,-8.34316e-11,-8.74414e-10,-1.03750e-09,-1.01748e-09
1.41252e-02,9.66525e-03,7.00363e-03,5.26573e-03,3.69547e-03,2.43366e-03,1.70849e-03,1.26145e-03,8.69199e-04,5.62844e-04,3.89117e-04,2.81864e-04,1.87045e-04,1.14126e-04,7.37574e-05,5.01337e-05,2.97239e-05,1.63216e-05,9.61312e-06,5.95646e-06,3.10737e-06,1.41185e-06,6.67787e-07,3.10590e-07,8.16775e-08,-3.27553e-08,-6.33707e-08,-6.83037e-08,-6.21377e-08,-4.93757e-08,-3.86341e-08,-3.06081e-08
1.19634e-02,7.84662e-03,5.51212e-03,4.04719e-03,2.77242e-03,1.78752e-03,1.23825e-03,9.04677e-04,6.13983e-04,3.87915e-04,2.60869e-04,1.83713e-04,1.17252e-04,6.81418e-05,4.21823e-05,2.76067e-05,1.55434e-05,8.02223e-06,4.44891e-06,2.58985e-06,1.21415e-06,4.51364e-07,1.45236e-07,1.30800e-08,-5.81976e-08,-7.99764e-08,-7.57932e-08,-6.64141e-08,-5.31406e-08,-3.89901e-08,-2.93420e-08,-2.27374e-08
