,sensitivity,confidence
$\mathrm{thk}_{1}$,11.634941193698708,7.6256958215500985
$\mathrm{thk}_{2}$,2.885123847506341,1.6422612548192213
$\mathrm{thk}_{3}$,1.4293012957283,0.9284305911910383
$\mathrm{thk}_{4}$,1.4409468599685458,0.9215737127315795
$\mathrm{thk}_{5}$,1.5354436285528825,0.9560718153972786
"$\rho_{0,1}$",42.468795422018616,25.582250457071016
"$\rho_{0,2}$",12.885423990504249,8.424026632238702
"$\rho_{0,3}$",1.613193378067517,1.0100740827919739
"$\rho_{0,4}$",1.3995642831603998,0.7983322144701006
"$\rho_{0,5}$",1.2637541611869156,0.7961928308597073
"$\rho_{0,6}$",1.226911258325307,0.7756981182697619
"$\phi_{\mathrm{max}, 2}$",2.7253695461027534,1.6654038712306285
"$\phi_{\mathrm{max}, 3}$",2.350342270074606,1.4333037928238772
"$\phi_{\mathrm{max}, 4}$",1.057317686762738,0.6469807711966925
"$\phi_{\mathrm{max}, 5}$",3.2489905361233156,2.0036051464705946
"$\phi_{\mathrm{max}, 6}$",0.7093139396065832,0.44160217052701317
"$\tau_{\phi, 2}$",0.9012838253527021,0.5851240532933503
"$\tau_{\phi, 3}$",1.8358601298860655,1.2000568187341154
"$\tau_{\phi, 4}$",2.0608342367448156,1.2941536276010126
"$\tau_{\phi, 5}$",1.4164322402767204,0.8676422329645499
"$\tau_{\phi, 6}$",1.8436397221814478,1.1571626212171544
$c_{2}$,2.2267074591435385,1.4251139730078644
$c_{3}$,1.4990009174027579,0.9523228129267034
$c_{4}$,1.8113360981361168,1.0991128295251889
$c_{5}$,1.1802855090539124,0.7702417342974138
$c_{6}$,2.226292212935707,1.4068911726708835
