thk_01,thk_02,thk_03,thk_04,thk_05,res0_01,res0_02,res0_03,res0_04,res0_05,res0_06,phim_01,phim_02,phim_03,phim_04,phim_05,phim_06,taup_01,taup_02,taup_03,taup_04,taup_05,taup_06,c_01,c_02,c_03,c_04,c_05,c_06
2.45210e+00,7.54375e+00,6.27300e+00,2.93370e+00,1.35630e+01,5.84943e+01,1.26781e+02,2.86461e+01,9.24650e+00,7.68625e+00,3.29670e+01,0.00000e+00,1.50000e-01,3.50000e-01,2.10000e-01,7.50000e-02,5.40000e-01,1.00000e-06,1.16000e-04,5.78500e-05,1.00800e-04,1.75000e-04,1.15500e-04,1.00000e-01,7.52669e-01,6.62500e-01,8.02900e-01,5.76150e-01,7.19400e-01
2.45210e+00,7.54375e+00,7.94580e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,6.27300e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,2.93370e+00,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,1.04775e+01,5.34300e+00,5.84943e+01,7.60683e+01,6.83100e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,2.86461e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,9.24650e+00,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,3.51367e+01,7.68625e+00,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,1.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.80000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
2.45210e+00,8.43125e+00,7.94580e+00,1.04775e+01,5.34300e+00,1.07753e+02,7.60683e+01,6.83100e+01,3.51367e+01,1.38353e+01,6.99300e+00,0.00000e+00,2.50000e-01,2.50000e-01,1.50000e-01,7.50000e-02,5.40000e-01,1.00000e-06,1.16000e-04,2.22500e-05,1.29600e-04,1.65000e-04,1.26500e-04,1.00000e-01,5.87781e-01,2.38500e-01,2.33100e-01,7.76550e-01,2.39800e-01
