tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
4.30085e-04,2.95517e-04,2.17882e-04,1.53628e-04,1.04230e-04,7.61269e-05,5.85290e-05,4.26041e-05,2.96193e-05,2.19043e-05,1.69259e-05,1.22813e-05,8.41776e-06,6.05888e-06,4.53855e-06,3.07380e-06,1.96701e-06,1.32750e-06,9.32420e-07,5.80623e-07,3.34546e-07
3.87570e-04,2.35594e-04,1.54489e-04,9.35132e-05,5.23322e-05,3.24403e-05,2.18036e-05,1.36843e-05,8.32854e-06,5.75364e-06,4.33452e-06,3.16585e-06,2.28487e-06,1.76537e-06,1.42634e-06,1.08431e-06,8.02407e-07,6.20707e-07,4.95395e-07,3.68544e-07,2.63057e-07
3.88266e-04,2.36764e-04,1.55647e-04,9.44742e-05,5.30678e-05,3.30379e-05,2.23158e-05,1.41177e-05,8.68544e-06,6.05229e-06,4.58672e-06,3.36624e-06,2.43448e-06,1.88012e-06,1.51690e-06,1.15005e-06,8.48082e-07,6.53992e-07,5.20540e-07,3.85912e-07,2.74429e-07
3.60971e-04,2.13550e-04,1.37543e-04,8.27850e-05,4.75795e-05,3.12518e-05,2.26226e-05,1.58737e-05,1.10457e-05,8.39410e-06,6.72025e-06,5.14958e-06,3.80249e-06,2.93979e-06,2.35564e-06,1.75814e-06,1.26824e-06,9.57948e-07,7.48407e-07,5.41517e-07,3.74894e-07
4.63865e-04,2.77044e-04,1.79186e-04,1.06925e-04,5.88433e-05,3.59230e-05,2.37776e-05,1.45792e-05,8.59242e-06,5.77317e-06,4.25644e-06,3.04377e-06,2.16327e-06,1.66014e-06,1.33791e-06,1.01672e-06,7.53693e-07,5.84436e-07,4.67593e-07,3.49049e-07,2.50120e-07
4.97336e-04,3.27040e-04,2.28001e-04,1.46804e-04,8.70487e-05,5.56675e-05,3.78043e-05,2.34717e-05,1.36041e-05,8.78360e-06,6.17798e-06,4.13831e-06,2.73972e-06,2.00275e-06,1.56269e-06,1.15144e-06,8.33556e-07,6.37154e-07,5.04842e-07,3.73083e-07,2.64981e-07
3.39419e-04,2.08551e-04,1.42482e-04,9.46574e-05,6.18750e-05,4.47078e-05,3.42821e-05,2.48357e-05,1.70384e-05,1.23775e-05,9.39604e-06,6.68816e-06,4.53877e-06,3.29411e-06,2.52181e-06,1.79667e-06,1.25033e-06,9.25911e-07,7.15476e-07,5.13587e-07,3.54609e-07
3.85262e-04,2.31941e-04,1.50461e-04,8.97991e-05,4.95892e-05,3.05942e-05,2.06111e-05,1.30800e-05,8.13124e-06,5.73283e-06,4.38873e-06,3.25737e-06,2.38039e-06,1.85101e-06,1.50050e-06,1.14329e-06,8.46741e-07,6.54847e-07,5.22285e-07,3.88020e-07,2.76407e-07
3.53448e-04,2.17671e-04,1.44577e-04,8.90229e-05,5.09653e-05,3.22597e-05,2.20871e-05,1.41754e-05,8.82216e-06,6.17433e-06,4.68076e-06,3.42638e-06,2.46529e-06,1.89512e-06,1.52339e-06,1.15027e-06,8.45291e-07,6.50410e-07,5.16959e-07,3.82773e-07,2.71987e-07
3.87586e-04,2.34986e-04,1.53737e-04,9.28037e-05,5.17422e-05,3.19323e-05,2.13456e-05,1.32714e-05,7.96283e-06,5.42971e-06,4.04835e-06,2.92647e-06,2.09618e-06,1.61435e-06,1.30297e-06,9.90851e-07,7.34481e-07,5.69361e-07,4.55390e-07,3.39817e-07,2.43440e-07
3.87636e-04,2.34989e-04,1.53701e-04,9.27264e-05,5.16334e-05,3.18148e-05,2.12327e-05,1.31753e-05,7.89316e-06,5.38206e-06,4.01700e-06,2.91081e-06,2.09269e-06,1.61703e-06,1.30869e-06,9.98414e-07,7.42349e-07,5.76715e-07,4.62013e-07,3.45357e-07,2.47780e-07
3.87581e-04,2.34969e-04,1.53704e-04,9.27482e-05,5.16649e-05,3.18473e-05,2.12628e-05,1.32005e-05,7.91181e-06,5.39572e-06,4.02705e-06,2.91733e-06,2.09630e-06,1.61898e-06,1.30967e-06,9.98568e-07,7.42009e-07,5.76172e-07,4.61398e-07,3.44737e-07,2.47220e-07
3.87591e-04,2.34984e-04,1.53722e-04,9.27655e-05,5.16763e-05,3.18518e-05,2.12618e-05,1.31942e-05,7.90236e-06,5.38559e-06,4.01737e-06,2.90895e-06,2.08985e-06,1.61415e-06,1.30609e-06,9.96366e-07,7.40950e-07,5.75809e-07,4.61465e-07,3.45160e-07,2.47840e-07
3.87580e-04,2.34967e-04,1.53701e-04,9.27428e-05,5.16564e-05,3.18370e-05,2.12520e-05,1.31900e-05,7.90309e-06,5.38889e-06,4.02188e-06,2.91400e-06,2.09464e-06,1.61833e-06,1.30962e-06,9.99026e-07,7.42739e-07,5.76984e-07,4.62208e-07,3.45486e-07,2.47861e-07
3.87556e-04,2.34883e-04,1.53527e-04,9.24254e-05,5.11739e-05,3.12739e-05,2.06841e-05,1.26935e-05,7.56167e-06,5.19689e-06,3.94930e-06,2.96010e-06,2.22984e-06,1.79022e-06,1.49021e-06,1.16861e-06,8.83122e-07,6.87036e-07,5.45864e-07,3.98610e-07,2.74104e-07
3.86398e-04,2.34554e-04,1.53800e-04,9.32307e-05,5.23028e-05,3.24581e-05,2.17923e-05,1.36050e-05,8.18168e-06,5.57663e-06,4.15091e-06,2.99148e-06,2.13434e-06,1.63854e-06,1.31917e-06,1.00013e-06,7.39055e-07,5.71494e-07,4.56180e-07,3.39613e-07,2.42776e-07
3.98882e-04,2.42909e-04,1.59099e-04,9.57421e-05,5.28500e-05,3.21444e-05,2.11301e-05,1.28224e-05,7.47736e-06,5.00697e-06,3.70277e-06,2.67561e-06,1.93567e-06,1.50964e-06,1.23251e-06,9.50564e-07,7.14059e-07,5.58719e-07,4.49912e-07,3.38162e-07,2.43792e-07
4.03459e-04,2.46490e-04,1.62331e-04,9.87197e-05,5.54675e-05,3.43810e-05,2.30061e-05,1.42512e-05,8.43641e-06,5.64186e-06,4.11781e-06,2.89022e-06,2.00152e-06,1.50294e-06,1.19134e-06,8.89929e-07,6.51747e-07,5.03124e-07,4.02651e-07,3.02226e-07,2.19188e-07
3.87580e-04,2.34967e-04,1.53700e-04,9.27418e-05,5.16553e-05,3.18359e-05,2.12509e-05,1.31892e-05,7.90244e-06,5.38843e-06,4.02156e-06,2.91383e-06,2.09461e-06,1.61837e-06,1.30971e-06,9.99149e-07,7.42878e-07,5.77120e-07,4.62336e-07,3.45596e-07,2.47947e-07
3.89205e-04,2.36271e-04,1.54719e-04,9.34581e-05,5.21080e-05,3.21324e-05,2.14522e-05,1.33108e-05,7.96776e-06,5.42629e-06,4.04504e-06,2.92672e-06,2.10106e-06,1.62198e-06,1.31191e-06,1.00029e-06,7.43400e-07,5.77363e-07,4.62438e-07,3.45598e-07,2.47903e-07
3.86912e-04,2.35061e-04,1.54195e-04,9.34446e-05,5.23304e-05,3.23871e-05,2.16791e-05,1.34805e-05,8.07579e-06,5.49609e-06,4.09206e-06,2.95529e-06,2.11727e-06,1.63220e-06,1.31890e-06,1.00464e-06,7.46025e-07,5.79085e-07,4.63632e-07,3.46337e-07,2.48329e-07
3.96859e-04,2.41475e-04,1.58277e-04,9.55804e-05,5.32011e-05,3.27165e-05,2.17712e-05,1.34438e-05,7.99825e-06,5.42184e-06,4.02947e-06,2.90855e-06,2.08589e-06,1.61031e-06,1.30291e-06,9.94033e-07,7.39240e-07,5.74413e-07,4.60239e-07,3.44086e-07,2.46900e-07
3.87757e-04,2.35527e-04,1.54803e-04,9.46817e-05,5.45207e-05,3.51550e-05,2.46348e-05,1.62826e-05,1.03276e-05,7.16168e-06,5.26484e-06,3.60770e-06,2.32715e-06,1.59885e-06,1.15614e-06,7.53887e-07,4.68427e-07,3.12023e-07,2.18829e-07,1.37913e-07,8.21479e-08
2.51786e-04,1.57977e-04,1.06489e-04,6.65900e-05,3.87834e-05,2.49284e-05,1.73283e-05,1.13755e-05,7.30123e-06,5.24953e-06,4.06745e-06,3.04846e-06,2.24105e-06,1.74710e-06,1.41800e-06,1.08157e-06,8.01925e-07,6.20901e-07,4.95819e-07,3.69058e-07,2.63557e-07
3.87716e-04,2.35398e-04,1.54537e-04,9.41802e-05,5.36958e-05,3.40783e-05,2.33938e-05,1.49350e-05,9.00848e-06,5.98007e-06,4.25898e-06,2.85289e-06,1.85685e-06,1.33189e-06,1.02511e-06,7.48191e-07,5.42358e-07,4.18387e-07,3.35575e-07,2.52845e-07,1.84006e-07
4.47635e-04,2.69908e-04,1.77554e-04,1.08949e-04,6.19710e-05,3.87547e-05,2.60121e-05,1.60103e-05,9.26917e-06,6.01998e-06,4.26748e-06,2.89001e-06,1.93298e-06,1.41851e-06,1.10620e-06,8.10412e-07,5.80007e-07,4.37699e-07,3.42395e-07,2.48481e-07,1.72705e-07
