tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.24260e-02,1.06281e-02,9.12210e-03,1.80761e-03,3.70564e-04,8.71293e-05,2.75615e-05,9.84021e-06,2.03063e-06,-4.00393e-07,-6.62379e-07,-5.45163e-07,-3.42197e-07,-1.36703e-07,-3.20318e-08,1.69628e-08,4.62990e-08,5.41616e-08,5.00199e-08,4.33588e-08,3.44590e-08,2.53062e-08,1.89196e-08,1.45522e-08,1.04377e-08,6.90669e-09,4.86072e-09,3.57771e-09,2.44392e-09,1.54791e-09,1.05492e-09,7.61991e-10
5.40937e-03,4.15738e-03,3.45550e-03,9.81862e-04,3.32030e-04,1.32899e-04,7.04486e-05,4.31193e-05,2.42992e-05,1.30414e-05,8.10605e-06,5.48460e-06,3.40543e-06,2.00111e-06,1.29026e-06,9.04798e-07,5.85458e-07,3.62781e-07,2.43262e-07,1.72936e-07,1.11554e-07,6.98104e-08,4.76219e-08,3.39868e-08,2.24832e-08,1.37558e-08,9.14036e-09,6.47704e-09,4.29210e-09,2.62390e-09,1.73257e-09,1.21943e-09
6.45452e-03,5.01623e-03,4.11343e-03,1.00238e-03,3.10804e-04,1.18175e-04,6.05748e-05,3.64078e-05,2.04765e-05,1.10778e-05,6.92546e-06,4.72403e-06,2.98928e-06,1.81228e-06,1.19757e-06,8.51389e-07,5.55405e-07,3.47723e-07,2.35897e-07,1.69458e-07,1.10397e-07,6.92196e-08,4.70558e-08,3.35400e-08,2.22404e-08,1.36985e-08,9.13259e-09,6.46685e-09,4.26461e-09,2.59649e-09,1.71631e-09,1.21289e-09
6.68147e-03,5.28851e-03,4.40420e-03,1.14305e-03,3.63510e-04,1.35172e-04,6.55873e-05,3.67034e-05,1.83799e-05,8.41279e-06,4.55806e-06,2.77679e-06,1.57658e-06,9.25877e-07,6.29387e-07,4.75349e-07,3.46491e-07,2.44442e-07,1.80255e-07,1.37427e-07,9.59551e-08,6.37029e-08,4.47443e-08,3.27160e-08,2.22251e-08,1.39386e-08,9.41477e-09,6.72688e-09,4.46827e-09,2.74019e-09,1.81996e-09,1.28958e-09
6.57619e-03,5.18321e-03,4.30444e-03,1.11944e-03,3.66078e-04,1.43584e-04,7.39900e-05,4.40347e-05,2.40655e-05,1.23071e-05,7.22370e-06,4.62451e-06,2.68421e-06,1.47505e-06,8.95905e-07,5.98017e-07,3.67651e-07,2.18269e-07,1.44101e-07,1.02586e-07,6.66237e-08,4.22296e-08,2.92525e-08,2.12326e-08,1.43974e-08,9.10072e-09,6.20830e-09,4.48152e-09,3.01858e-09,1.88310e-09,1.26700e-09,9.06079e-10
6.93235e-03,5.23690e-03,4.13229e-03,6.79450e-04,1.31067e-04,2.94399e-05,8.95649e-06,2.95889e-06,2.52190e-07,-4.97088e-07,-4.69432e-07,-3.56551e-07,-2.37601e-07,-1.34590e-07,-7.47713e-08,-4.00069e-08,-1.23088e-08,1.54460e-09,5.22893e-09,5.85083e-09,5.73053e-09,4.96711e-09,4.10755e-09,3.34786e-09,2.48302e-09,1.65474e-09,1.17942e-09,8.85893e-10,6.24614e-10,4.06827e-10,2.79173e-10,2.00617e-10
5.85324e-03,4.60113e-03,3.81488e-03,9.66211e-04,3.03228e-04,1.15832e-04,5.95325e-05,3.58425e-05,2.01815e-05,1.09317e-05,6.84440e-06,4.67470e-06,2.96141e-06,1.79646e-06,1.18783e-06,8.45097e-07,5.51903e-07,3.45862e-07,2.34724e-07,1.68634e-07,1.09890e-07,6.89417e-08,4.68941e-08,3.34384e-08,2.21784e-08,1.36604e-08,9.10825e-09,6.45124e-09,4.25627e-09,2.59259e-09,1.71396e-09,1.21114e-09
6.53735e-03,4.84990e-03,3.81346e-03,8.07033e-04,2.41136e-04,9.02959e-05,4.60352e-05,2.76213e-05,1.55094e-05,8.42811e-06,5.33011e-06,3.68291e-06,2.36836e-06,1.46134e-06,9.81809e-07,7.08461e-07,4.70813e-07,3.00385e-07,2.06363e-07,1.49532e-07,9.85441e-08,6.25371e-08,4.28908e-08,3.07934e-08,2.05656e-08,1.27431e-08,8.53959e-09,6.07393e-09,4.02543e-09,2.46418e-09,1.63449e-09,1.15724e-09
1.04002e-02,8.76430e-03,7.47804e-03,1.57388e-03,3.80069e-04,1.14476e-04,4.68495e-05,2.18173e-05,7.39546e-06,4.05464e-07,-1.83664e-06,-2.56992e-06,-2.73168e-06,-2.41922e-06,-2.03565e-06,-1.69277e-06,-1.27812e-06,-9.06170e-07,-6.58438e-07,-4.89171e-07,-3.25821e-07,-2.01000e-07,-1.30446e-07,-8.81078e-08,-5.38200e-08,-2.93730e-08,-1.73427e-08,-1.09908e-08,-6.35604e-09,-3.25414e-09,-1.86010e-09,-1.18364e-09
5.68043e-03,4.12095e-03,3.24397e-03,8.17544e-04,2.88013e-04,1.22692e-04,6.79025e-05,4.27685e-05,2.47514e-05,1.34496e-05,8.25614e-06,5.43743e-06,3.19548e-06,1.69215e-06,9.53070e-07,5.71631e-07,2.81980e-07,1.08299e-07,3.47362e-08,2.57380e-09,-1.57160e-08,-1.81178e-08,-1.45114e-08,-1.09589e-08,-6.83601e-09,-3.02301e-09,-1.09367e-09,-1.16450e-10,4.90413e-10,7.00999e-10,6.41834e-10,5.26153e-10
2.33508e-03,1.91638e-03,1.70472e-03,6.57444e-04,2.73622e-04,1.27931e-04,7.46306e-05,4.88115e-05,2.96057e-05,1.70108e-05,1.09438e-05,7.54616e-06,4.77024e-06,2.82487e-06,1.81105e-06,1.24892e-06,7.79295e-07,4.60939e-07,2.97273e-07,2.04397e-07,1.25594e-07,7.44565e-08,4.87968e-08,3.37347e-08,2.17043e-08,1.30986e-08,8.65664e-09,6.13920e-09,4.10472e-09,2.55048e-09,1.71320e-09,1.22566e-09
3.83889e-03,2.21630e-03,1.59490e-03,5.98467e-04,2.47554e-04,1.13579e-04,6.79193e-05,4.52190e-05,2.69715e-05,1.53414e-05,1.01039e-05,7.12166e-06,4.52784e-06,2.62630e-06,1.66328e-06,1.15284e-06,7.35775e-07,4.41436e-07,2.82208e-07,1.90384e-07,1.15004e-07,6.86671e-08,4.59554e-08,3.21390e-08,2.06167e-08,1.21643e-08,7.96367e-09,5.69180e-09,3.90629e-09,2.48445e-09,1.67111e-09,1.18210e-09
2.65019e-03,2.17106e-03,1.85393e-03,5.93444e-04,2.44091e-04,1.15358e-04,6.71125e-05,4.37995e-05,2.67840e-05,1.54627e-05,9.87116e-06,6.74608e-06,4.23683e-06,2.50288e-06,1.59297e-06,1.08351e-06,6.58118e-07,3.76823e-07,2.37241e-07,1.60076e-07,9.53451e-08,5.41946e-08,3.42883e-08,2.30883e-08,1.46214e-08,8.90323e-09,5.96715e-09,4.29423e-09,2.93270e-09,1.88307e-09,1.30807e-09,9.64369e-10
2.08313e-03,1.58359e-03,1.36168e-03,5.42535e-04,2.31830e-04,1.09915e-04,6.49628e-05,4.28991e-05,2.61939e-05,1.51827e-05,9.87096e-06,6.86671e-06,4.37422e-06,2.60040e-06,1.67216e-06,1.15669e-06,7.24320e-07,4.28865e-07,2.75691e-07,1.88559e-07,1.15109e-07,6.79873e-08,4.45581e-08,3.08204e-08,1.98598e-08,1.20426e-08,8.02610e-09,5.75633e-09,3.91577e-09,2.48331e-09,1.69138e-09,1.22023e-09
2.08322e-03,1.58371e-03,1.36179e-03,5.42600e-04,2.31873e-04,1.09945e-04,6.49851e-05,4.29169e-05,2.62075e-05,1.51927e-05,9.87864e-06,6.87281e-06,4.37876e-06,2.60357e-06,1.67446e-06,1.15840e-06,7.25452e-07,4.29545e-07,2.76107e-07,1.88813e-07,1.15222e-07,6.80097e-08,4.45405e-08,3.07856e-08,1.98185e-08,1.20049e-08,7.99470e-09,5.73111e-09,3.89777e-09,2.47174e-09,1.68366e-09,1.21489e-09
2.09178e-03,1.59352e-03,1.37166e-03,5.47252e-04,2.34556e-04,1.11633e-04,6.61801e-05,4.38209e-05,2.68569e-05,1.56340e-05,1.01945e-05,7.10712e-06,4.53736e-06,2.70009e-06,1.73391e-06,1.19487e-06,7.41106e-07,4.31165e-07,2.71078e-07,1.80700e-07,1.05613e-07,5.88705e-08,3.66803e-08,2.42664e-08,1.49910e-08,8.94552e-09,6.02880e-09,4.46645e-09,3.23314e-09,2.20886e-09,1.58507e-09,1.18391e-09
2.46727e-03,2.04568e-03,1.76218e-03,5.76411e-04,2.37775e-04,1.12102e-04,6.49720e-05,4.22326e-05,2.56816e-05,1.47117e-05,9.32083e-06,6.32410e-06,3.93429e-06,2.29944e-06,1.45015e-06,9.79597e-07,5.91424e-07,3.37972e-07,2.14025e-07,1.46168e-07,8.92574e-08,5.28764e-08,3.49601e-08,2.45824e-08,1.63812e-08,1.04549e-08,7.22895e-09,5.28580e-09,3.62163e-09,2.31304e-09,1.58999e-09,1.15747e-09
2.06837e-03,1.63927e-03,1.41338e-03,4.99708e-04,2.00653e-04,9.15365e-05,5.26064e-05,3.40623e-05,2.04479e-05,1.16285e-05,7.42514e-06,5.08598e-06,3.18355e-06,1.85923e-06,1.17432e-06,7.97900e-07,4.86971e-07,2.79180e-07,1.74490e-07,1.16421e-07,6.84605e-08,3.87534e-08,2.46116e-08,1.65822e-08,1.04372e-08,6.27278e-09,4.18764e-09,3.03233e-09,2.10667e-09,1.37427e-09,9.57585e-10,7.03114e-10
7.10813e-03,5.95840e-03,5.08459e-03,1.16590e-03,3.27079e-04,1.17853e-04,5.82018e-05,3.38362e-05,1.81972e-05,9.14127e-06,5.22955e-06,3.24635e-06,1.79059e-06,9.06685e-07,4.93655e-07,2.88603e-07,1.41065e-07,5.80041e-08,2.55019e-08,1.17940e-08,2.81953e-09,-4.54888e-10,-8.62730e-10,-7.86556e-10,-4.55710e-10,-5.08865e-11,1.33250e-10,2.06066e-10,2.29165e-10,2.11840e-10,1.78924e-10,1.47077e-10
1.19897e-02,1.29318e-02,1.35107e-02,1.11316e-02,6.35528e-03,2.50827e-03,8.34435e-04,8.91544e-05,-3.17971e-04,-4.12557e-04,-3.47063e-04,-2.58743e-04,-1.50337e-04,-5.76969e-05,-1.84793e-05,-4.70531e-06,3.42075e-07,1.21925e-06,6.39533e-07,8.38051e-08,-1.32027e-07,-7.49491e-09,1.04632e-07,1.14313e-07,6.58898e-08,6.11577e-09,-7.15535e-09,-2.65018e-09,6.88359e-09,8.55690e-09,4.84841e-09,1.35308e-09
5.05859e-03,3.96369e-03,3.37577e-03,1.02309e-03,3.51092e-04,1.43524e-04,7.79532e-05,4.86211e-05,2.77771e-05,1.50286e-05,9.34145e-06,6.26761e-06,3.79047e-06,2.10202e-06,1.26277e-06,8.22283e-07,4.74026e-07,2.45984e-07,1.34286e-07,7.54758e-08,3.13680e-08,9.18792e-09,1.59999e-09,-1.52926e-09,-2.66395e-09,-2.17207e-09,-1.41700e-09,-7.46445e-10,-9.16043e-11,2.75289e-10,3.48320e-10,3.27836e-10
4.29953e-03,3.18325e-03,2.64281e-03,7.75953e-04,2.53267e-04,9.94672e-05,5.36233e-05,3.33570e-05,1.86702e-05,9.92454e-06,6.20945e-06,4.20308e-06,2.53726e-06,1.37780e-06,8.13754e-07,5.27454e-07,3.05492e-07,1.55773e-07,7.94146e-08,3.86978e-08,9.33870e-09,-3.82398e-09,-7.25587e-09,-8.11265e-09,-7.53081e-09,-5.71177e-09,-4.04099e-09,-2.69848e-09,-1.38571e-09,-4.93302e-10,-1.38513e-10,8.88649e-13
7.62964e-03,6.13811e-03,5.09059e-03,1.08195e-03,2.91334e-04,1.00001e-04,4.69117e-05,2.57343e-05,1.24921e-05,5.23059e-06,2.35345e-06,1.02139e-06,1.57105e-07,-2.41888e-07,-3.53628e-07,-3.61311e-07,-3.15352e-07,-2.48531e-07,-1.92173e-07,-1.48971e-07,-1.04467e-07,-6.78630e-08,-4.59019e-08,-3.22190e-08,-2.06168e-08,-1.18497e-08,-7.32392e-09,-4.80744e-09,-2.86256e-09,-1.51401e-09,-8.85142e-10,-5.68103e-10
5.51057e-03,4.47901e-03,3.82589e-03,1.11229e-03,3.89852e-04,1.62000e-04,8.71340e-05,5.36194e-05,3.04248e-05,1.61557e-05,9.69112e-06,6.26989e-06,3.64203e-06,1.94871e-06,1.12855e-06,7.07700e-07,3.89021e-07,1.95578e-07,1.09761e-07,6.76152e-08,3.58544e-08,1.90405e-08,1.22904e-08,8.61891e-09,5.89664e-09,4.03763e-09,2.99674e-09,2.33574e-09,1.72481e-09,1.18921e-09,8.56330e-10,6.40045e-10
5.80629e-03,4.58175e-03,3.78412e-03,8.63196e-04,2.48918e-04,9.00519e-05,4.42296e-05,2.53169e-05,1.30161e-05,6.03566e-06,3.16310e-06,1.75768e-06,7.62577e-07,2.09988e-07,-6.73829e-09,-8.64334e-08,-1.15134e-07,-1.10420e-07,-9.32242e-08,-7.57889e-08,-5.54328e-08,-3.67645e-08,-2.49242e-08,-1.74916e-08,-1.11558e-08,-6.34196e-09,-3.85220e-09,-2.46963e-09,-1.41092e-09,-6.98383e-10,-3.82923e-10,-2.32883e-10
5.81639e-03,4.60668e-03,3.81853e-03,8.96082e-04,2.70009e-04,1.03473e-04,5.37456e-05,3.25045e-05,1.81468e-05,9.49703e-06,5.62686e-06,3.57285e-06,1.97276e-06,9.22836e-07,4.10015e-07,1.47637e-07,-4.49201e-08,-1.47972e-07,-1.78735e-07,-1.80249e-07,-1.63163e-07,-1.30441e-07,-1.00195e-07,-7.58562e-08,-4.99875e-08,-2.66923e-08,-1.42177e-08,-7.32949e-09,-2.41663e-09,5.05433e-11,5.02196e-10,4.02898e-10
5.80690e-03,4.58859e-03,3.79506e-03,8.75732e-04,2.57412e-04,9.56457e-05,4.82852e-05,2.84346e-05,1.52911e-05,7.61594e-06,4.32275e-06,2.64140e-06,1.38662e-06,6.17846e-07,2.70232e-07,1.07876e-07,1.88697e-09,-4.90250e-08,-6.15127e-08,-6.08252e-08,-5.35803e-08,-4.17842e-08,-3.20227e-08,-2.49099e-08,-1.78364e-08,-1.15087e-08,-7.80809e-09,-5.49324e-09,-3.48641e-09,-1.98759e-09,-1.23038e-09,-8.17700e-10
1.55329e-02,1.55047e-02,1.53298e-02,8.54640e-03,1.09325e-03,-1.49686e-03,-1.00343e-03,-4.85272e-04,-1.46314e-04,-2.51670e-05,-1.93531e-05,-2.00976e-05,-1.24133e-05,-2.90144e-06,-1.08746e-07,-2.29383e-07,-1.07679e-06,-9.85311e-07,-4.70389e-07,-9.63833e-08,6.14940e-08,3.09179e-09,-5.83212e-08,-6.24646e-08,-3.38714e-08,3.47931e-10,7.32022e-09,4.00778e-09,-2.29060e-09,-3.86355e-09,-2.02651e-09,-1.85737e-10
5.42050e-03,4.34809e-03,3.62381e-03,8.38251e-04,2.43665e-04,8.86765e-05,4.35482e-05,2.49041e-05,1.28501e-05,5.97837e-06,3.12023e-06,1.72231e-06,7.42142e-07,2.03892e-07,-8.22856e-09,-8.74791e-08,-1.16807e-07,-1.11786e-07,-9.39048e-08,-7.59933e-08,-5.54216e-08,-3.68018e-08,-2.50223e-08,-1.75867e-08,-1.12097e-08,-6.34915e-09,-3.84771e-09,-2.46705e-09,-1.41421e-09,-7.02567e-10,-3.84618e-10,-2.32349e-10
4.38486e-03,3.29766e-03,2.69704e-03,7.59440e-04,2.69939e-04,1.14671e-04,6.35252e-05,4.01265e-05,2.33377e-05,1.28237e-05,7.99566e-06,5.36094e-06,3.24220e-06,1.79638e-06,1.07013e-06,6.84488e-07,3.78429e-07,1.81993e-07,8.90618e-08,4.19440e-08,8.19488e-09,-6.66113e-09,-9.96977e-09,-1.01485e-08,-8.48104e-09,-5.64438e-09,-3.63058e-09,-2.23613e-09,-9.97959e-10,-2.08363e-10,7.17567e-11,1.58525e-10
4.38514e-03,3.29872e-03,2.69857e-03,7.60969e-04,2.71019e-04,1.15426e-04,6.40986e-05,4.05845e-05,2.36878e-05,1.30801e-05,8.19224e-06,5.51637e-06,3.35684e-06,1.87469e-06,1.12480e-06,7.23223e-07,4.01205e-07,1.92364e-07,9.23110e-08,4.10157e-08,4.04082e-09,-1.22746e-08,-1.56281e-08,-1.52956e-08,-1.26165e-08,-8.44761e-09,-5.48080e-09,-3.41282e-09,-1.56555e-09,-3.77975e-10,5.05496e-11,1.87994e-10
4.38370e-03,3.29702e-03,2.69677e-03,7.59912e-04,2.70441e-04,1.15104e-04,6.38997e-05,4.04558e-05,2.36185e-05,1.30563e-05,8.19360e-06,5.53268e-06,3.38536e-06,1.91096e-06,1.16377e-06,7.62404e-07,4.38524e-07,2.25750e-07,1.21431e-07,6.60949e-08,2.38233e-08,1.90513e-09,-5.59658e-09,-8.29714e-09,-8.59895e-09,-6.91888e-09,-5.18490e-09,-3.72283e-09,-2.21098e-09,-1.05843e-09,-4.99981e-10,-2.20657e-10
4.94986e-03,3.75983e-03,3.06539e-03,8.12668e-04,2.82097e-04,1.18469e-04,6.49149e-05,4.06365e-05,2.34399e-05,1.27115e-05,7.78962e-06,5.12681e-06,3.01716e-06,1.60511e-06,9.06740e-07,5.42918e-07,2.63585e-07,9.45001e-08,2.20560e-08,-9.93644e-09,-2.80682e-08,-2.99278e-08,-2.52748e-08,-2.03771e-08,-1.43475e-08,-8.32174e-09,-4.86457e-09,-2.81070e-09,-1.19368e-09,-2.24346e-10,9.12797e-11,1.73337e-10
4.50729e-03,3.35932e-03,2.71105e-03,6.81399e-04,2.21130e-04,8.84080e-05,4.73969e-05,2.92735e-05,1.65227e-05,8.77960e-06,5.34870e-06,3.51018e-06,2.04499e-06,1.06356e-06,5.86265e-07,3.43106e-07,1.59679e-07,4.79293e-08,-4.65706e-10,-2.15812e-08,-3.24433e-08,-3.15873e-08,-2.66091e-08,-2.18292e-08,-1.61103e-08,-1.02855e-08,-6.69193e-09,-4.38412e-09,-2.40045e-09,-1.05370e-09,-4.84094e-10,-2.33639e-10
3.19521e-03,2.22828e-03,1.82365e-03,6.42002e-04,2.41355e-04,1.04174e-04,5.92208e-05,3.81062e-05,2.21836e-05,1.22651e-05,7.83746e-06,5.38534e-06,3.33086e-06,1.87749e-06,1.15083e-06,7.69568e-07,4.64590e-07,2.57355e-07,1.50650e-07,9.20582e-08,4.66552e-08,2.19544e-08,1.19031e-08,6.66709e-09,3.18027e-09,1.44772e-09,9.39226e-10,8.49318e-10,8.68748e-10,7.75040e-10,6.25861e-10,4.92522e-10
4.32778e-03,3.27146e-03,2.68297e-03,7.56821e-04,2.69301e-04,1.14518e-04,6.34297e-05,4.00592e-05,2.33150e-05,1.28185e-05,7.98901e-06,5.35387e-06,3.23784e-06,1.79539e-06,1.07011e-06,6.84420e-07,3.78050e-07,1.81641e-07,8.88922e-08,4.19075e-08,8.21466e-09,-6.66193e-09,-9.99213e-09,-1.01720e-08,-8.49395e-09,-5.64469e-09,-3.62818e-09,-2.23477e-09,-9.98754e-10,-2.09675e-10,7.11020e-11,1.58517e-10
9.95427e-03,8.06781e-03,6.68641e-03,1.33289e-03,3.44192e-04,1.19226e-04,5.79007e-05,3.33642e-05,1.77726e-05,8.79821e-06,4.92616e-06,2.96136e-06,1.51707e-06,6.43383e-07,2.43250e-07,5.28840e-08,-7.06401e-08,-1.22365e-07,-1.26685e-07,-1.16213e-07,-9.58879e-08,-7.04294e-08,-5.09579e-08,-3.71348e-08,-2.38852e-08,-1.29017e-08,-7.26311e-09,-4.23053e-09,-2.03711e-09,-7.18196e-10,-2.50478e-10,-9.15710e-11
9.09887e-03,7.74781e-03,6.69544e-03,1.58406e-03,4.35983e-04,1.48409e-04,6.80147e-05,3.60700e-05,1.63767e-05,5.90721e-06,2.01122e-06,3.74643e-07,-5.09114e-07,-7.17256e-07,-6.45743e-07,-5.13891e-07,-3.30985e-07,-1.81906e-07,-9.69400e-08,-4.84800e-08,-1.30254e-08,3.06261e-09,7.18903e-09,8.03973e-09,7.15748e-09,5.20768e-09,3.84896e-09,2.90522e-09,2.00511e-09,1.27329e-09,8.64334e-10,6.19524e-10
7.57578e-03,7.01089e-03,6.58626e-03,2.58130e-03,1.02900e-03,4.59063e-04,2.57687e-04,1.64003e-04,9.73405e-05,5.47476e-05,3.45706e-05,2.35025e-05,1.46774e-05,8.63943e-06,5.50399e-06,3.76269e-06,2.31049e-06,1.33526e-06,8.40480e-07,5.62730e-07,3.29062e-07,1.80757e-07,1.09982e-07,7.12506e-08,4.33111e-08,2.59613e-08,1.77850e-08,1.34583e-08,1.00020e-08,6.94183e-09,4.95568e-09,3.63844e-09
6.71184e-03,6.82355e-03,6.56707e-03,2.50567e-03,1.00518e-03,4.52756e-04,2.53615e-04,1.61121e-04,9.63029e-05,5.44676e-05,3.42623e-05,2.31937e-05,1.44873e-05,8.58946e-06,5.49583e-06,3.75380e-06,2.29029e-06,1.31698e-06,8.29985e-07,5.57974e-07,3.27130e-07,1.78639e-07,1.07488e-07,6.90760e-08,4.19345e-08,2.54313e-08,1.75648e-08,1.33201e-08,9.87887e-09,6.86053e-09,4.92257e-09,3.63823e-09
