tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13
-6.18568e-06,-3.85948e-06,-2.41252e-06,-1.57477e-06,-1.10588e-06,-8.18453e-07,-5.71223e-07,-3.74704e-07,-2.56833e-07,-1.84077e-07,-1.18255e-07,-7.16358e-08,-4.61766e-08,-3.11822e-08
1.66192e-05,1.43645e-05,1.24879e-05,9.98453e-06,7.48039e-06,5.60101e-06,3.85453e-06,2.45175e-06,1.64885e-06,1.17183e-06,7.55465e-07,4.68892e-07,3.13941e-07,2.22208e-07
3.57894e-05,2.27442e-05,1.33827e-05,7.52991e-06,4.70388e-06,3.17489e-06,1.98823e-06,1.17438e-06,7.53787e-07,5.18819e-07,3.23106e-07,1.95199e-07,1.28623e-07,8.97948e-08
3.56122e-05,2.26840e-05,1.33608e-05,7.52003e-06,4.71304e-06,3.19779e-06,2.01776e-06,1.19689e-06,7.65316e-07,5.24490e-07,3.26815e-07,1.99395e-07,1.33049e-07,9.34972e-08
3.54028e-05,2.25163e-05,1.32516e-05,7.45491e-06,4.66088e-06,3.15067e-06,1.97748e-06,1.16929e-06,7.49319e-07,5.14872e-07,3.20631e-07,1.94326e-07,1.28595e-07,8.99803e-08
3.55036e-05,2.26175e-05,1.33370e-05,7.51952e-06,4.71283e-06,3.19381e-06,2.01099e-06,1.19267e-06,7.65513e-07,5.26607e-07,3.28609e-07,1.99762e-07,1.32560e-07,9.29069e-08
3.54114e-05,2.25223e-05,1.32556e-05,7.45723e-06,4.66234e-06,3.15162e-06,1.97803e-06,1.16954e-06,7.49440e-07,5.14921e-07,3.20628e-07,1.94299e-07,1.28562e-07,8.99478e-08
3.53630e-05,2.24612e-05,1.31974e-05,7.41344e-06,4.63193e-06,3.13113e-06,1.96674e-06,1.16486e-06,7.47689e-07,5.14459e-07,3.20852e-07,1.94675e-07,1.28891e-07,9.02051e-08
3.12969e-05,1.89283e-05,1.05332e-05,5.71306e-06,3.55916e-06,2.45312e-06,1.61613e-06,1.02584e-06,6.94676e-07,4.97052e-07,3.21974e-07,2.00474e-07,1.34503e-07,9.48441e-08
3.51266e-05,2.22906e-05,1.30818e-05,7.33708e-06,4.57540e-06,3.08634e-06,1.93273e-06,1.14024e-06,7.29319e-07,5.00417e-07,3.11249e-07,1.88552e-07,1.24790e-07,8.73444e-08
3.63056e-05,2.31166e-05,1.35881e-05,7.59790e-06,4.70998e-06,3.15348e-06,1.95219e-06,1.13523e-06,7.17983e-07,4.88645e-07,3.01748e-07,1.82273e-07,1.20753e-07,8.47379e-08
3.53954e-05,2.24468e-05,1.31643e-05,7.37861e-06,4.59845e-06,3.10004e-06,1.93988e-06,1.14358e-06,7.31009e-07,5.01270e-07,3.11432e-07,1.88342e-07,1.24428e-07,8.69463e-08
3.54423e-05,2.25406e-05,1.32650e-05,7.46157e-06,4.66442e-06,3.15260e-06,1.97829e-06,1.16942e-06,7.49191e-07,5.14639e-07,3.20359e-07,1.94072e-07,1.28375e-07,8.97927e-08
3.51715e-05,2.23546e-05,1.31565e-05,7.40841e-06,4.63531e-06,3.13486e-06,1.96851e-06,1.16522e-06,7.48014e-07,5.14704e-07,3.20720e-07,1.94163e-07,1.28259e-07,8.96601e-08
3.24116e-05,2.07268e-05,1.22598e-05,6.92427e-06,4.35004e-06,2.95612e-06,1.86744e-06,1.10899e-06,7.10280e-07,4.87436e-07,3.03959e-07,1.85368e-07,1.23587e-07,8.68253e-08
2.25750e-05,1.41014e-05,8.14567e-06,4.50926e-06,2.77480e-06,1.84743e-06,1.13960e-06,6.64769e-07,4.23912e-07,2.90280e-07,1.78906e-07,1.06167e-07,6.86078e-08,4.71732e-08
3.42609e-05,2.17612e-05,1.27889e-05,7.18570e-06,4.48818e-06,3.03163e-06,1.90142e-06,1.12360e-06,7.19643e-07,4.94252e-07,3.07632e-07,1.86358e-07,1.23271e-07,8.62225e-08
3.54646e-05,2.25668e-05,1.32855e-05,7.47446e-06,4.67433e-06,3.16102e-06,1.98493e-06,1.17354e-06,7.51249e-07,5.15652e-07,3.20918e-07,1.94601e-07,1.28911e-07,9.02395e-08
3.54573e-05,2.25790e-05,1.32746e-05,7.45252e-06,4.67197e-06,3.17719e-06,2.01275e-06,1.19527e-06,7.60356e-07,5.18390e-07,3.22637e-07,1.98246e-07,1.33572e-07,9.43302e-08
