,sensitivity,confidence
$\mathrm{thk}_{1}$,7.810819529374463,5.141952627174575
$\mathrm{thk}_{2}$,8.589295414098876,5.2338222545309625
$\mathrm{thk}_{3}$,2.5082200853078658,1.6115596471737892
$\mathrm{thk}_{4}$,2.1112615639185113,1.2533860769289003
$\mathrm{thk}_{5}$,1.4331426869540695,0.8699395786091902
$\mathrm{thk}_{6}$,1.1722004762349947,0.7295174153561915
$\mathrm{thk}_{7}$,1.0002350352604934,0.6042852742427878
$\mathrm{thk}_{8}$,1.2600648776126482,0.7640775152708003
$\mathrm{thk}_{9}$,1.4529849816097433,0.9725711977512844
$\rho_{1}$,12.7860471580972,7.947960601948786
$\rho_{2}$,13.374244086508213,8.084672312331254
$\rho_{3}$,10.481557656092088,6.379043104981238
$\rho_{4}$,2.613299809979492,1.5746816994296842
$\rho_{5}$,3.6260137966654753,2.301612108866706
$\rho_{6}$,1.7449729206588287,1.0203153011649853
$\rho_{7}$,2.238272317990054,1.4158390527623592
$\rho_{8}$,1.8534564791033616,1.1818032822699898
$\rho_{9}$,1.7636044675063791,1.1181697246299807
$\rho_{10}$,1.8449847070613952,1.147021329787586
