,sensitivity,confidence
$\mathrm{thk}_{1}$,2.778326733778488,1.8314599767134403
$\mathrm{thk}_{2}$,1.9808325139298606,1.246609797853519
$\mathrm{thk}_{3}$,2.4027018080130893,1.40520360768052
$\mathrm{thk}_{4}$,2.648705180942583,1.7619274548596522
$\mathrm{thk}_{5}$,2.6259265823746527,1.5961279223084048
$\mathrm{thk}_{6}$,2.672493515503629,1.7181599891301815
$\mathrm{thk}_{7}$,2.3461652020194035,1.4872119257269574
$\rho_{1}$,2.7350622363011596,1.7833432729868954
$\rho_{2}$,2.594662025504652,1.573239493978793
$\rho_{3}$,1.7967898768910524,1.0715194981908542
$\rho_{4}$,2.861774959366024,1.8525491742983895
$\rho_{5}$,2.626520448822295,1.6389642080512343
$\rho_{6}$,2.6863900098946782,1.6744203359077507
$\rho_{7}$,1.499524989641353,0.9351846439816854
$\rho_{8}$,2.9281377655243968,1.957550314148292
