thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,thk_07,res_01,res_02,res_03,res_04,res_05,res_06,res_07,res_08
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
1.48269e+00,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,8.76487e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,3.52378e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,8.06371e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,1.14734e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,3.53781e+01,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,3.80543e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,1.62515e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,1.19501e+02,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,2.46482e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,5.90055e+01,1.16991e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.14956e+02,4.71293e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,8.33043e+01,4.13867e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,8.15084e+01,5.52037e+01
7.70081e-01,5.28543e+00,9.46584e+00,6.96264e+00,2.06701e+01,7.50444e+00,2.19578e+01,2.62360e+01,4.69548e+01,5.75126e+01,3.54033e+01,1.16991e+02,4.71293e+01,4.13867e+01,8.93051e+01
7.70081e-01,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,5.28543e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,9.46584e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,6.96264e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,2.06701e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,7.50444e+00,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,2.19578e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,2.62360e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,4.69548e+01,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,5.75126e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,3.54033e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.16991e+02,8.33043e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,4.71293e+01,8.15084e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,4.13867e+01,8.93051e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,5.52037e+01
1.48269e+00,8.76487e+00,3.52378e+00,8.06371e+00,1.14734e+01,3.53781e+01,3.80543e+01,1.62515e+01,1.19501e+02,2.46482e+01,5.90055e+01,1.14956e+02,8.33043e+01,8.15084e+01,8.93051e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.52530e+01,9.24126e+00,2.36484e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
4.42509e+00,9.52703e+00,3.56984e+00,1.52530e+01,9.24126e+00,2.36484e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,4.52327e+00,3.56984e+00,1.52530e+01,9.24126e+00,2.36484e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,9.41978e+00,1.52530e+01,9.24126e+00,2.36484e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.63541e+01,9.24126e+00,2.36484e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.52530e+01,2.29022e+01,2.36484e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.52530e+01,9.24126e+00,1.92341e+01,4.43530e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.52530e+01,9.24126e+00,2.36484e+01,1.56591e+01,5.34280e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.52530e+01,9.24126e+00,2.36484e+01,4.43530e+01,4.34435e+01,1.03924e+02,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
3.71248e+00,9.52703e+00,3.56984e+00,1.52530e+01,9.24126e+00,2.36484e+01,4.43530e+01,5.34280e+01,6.25322e+01,1.11444e+02,6.59193e+01,6.49045e+01,1.12346e+02,8.76531e+01,1.19861e+01
