tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23
1.62934e-03,8.50491e-04,5.12366e-04,3.34573e-04,2.01884e-04,1.13590e-04,7.04008e-05,4.68459e-05,2.84485e-05,1.59694e-05,9.87488e-06,6.57261e-06,4.00764e-06,2.29162e-06,1.44633e-06,9.86938e-07,6.08189e-07,3.63567e-07,2.38182e-07,1.66330e-07,1.05533e-07,6.40339e-08,4.22281e-08,2.95471e-08
1.73072e-03,9.00728e-04,5.40507e-04,3.51765e-04,2.11549e-04,1.18753e-04,7.35437e-05,4.89322e-05,2.97194e-05,1.66819e-05,1.03096e-05,6.85490e-06,4.17140e-06,2.37758e-06,1.49567e-06,1.01758e-06,6.24669e-07,3.71976e-07,2.42993e-07,1.69327e-07,1.07185e-07,6.48992e-08,4.27363e-08,2.98710e-08
1.81240e-03,9.54826e-04,5.75001e-04,3.74565e-04,2.25316e-04,1.26692e-04,7.87197e-05,5.25819e-05,3.21098e-05,1.81267e-05,1.12390e-05,7.48158e-06,4.54844e-06,2.58143e-06,1.61451e-06,1.09182e-06,6.64575e-07,3.92127e-07,2.54356e-07,1.76297e-07,1.10944e-07,6.68200e-08,4.38427e-08,3.05655e-08
1.71193e-03,9.14713e-04,5.55841e-04,3.62602e-04,2.16455e-04,1.19225e-04,7.23484e-05,4.72815e-05,2.81496e-05,1.55236e-05,9.50904e-06,6.30512e-06,3.84580e-06,2.21173e-06,1.40656e-06,9.66804e-07,6.01244e-07,3.62464e-07,2.38768e-07,1.67329e-07,1.06501e-07,6.47562e-08,4.27435e-08,2.99179e-08
1.62559e-03,8.47366e-04,5.10355e-04,3.33584e-04,2.01866e-04,1.14186e-04,7.11559e-05,4.75777e-05,2.90544e-05,1.63975e-05,1.01725e-05,6.78220e-06,4.13834e-06,2.36423e-06,1.48935e-06,1.01413e-06,6.23009e-07,3.71173e-07,2.42534e-07,1.69036e-07,1.07018e-07,6.48080e-08,4.26810e-08,2.98350e-08
1.62899e-03,8.49679e-04,5.11170e-04,3.33172e-04,2.00480e-04,1.12482e-04,6.96606e-05,4.64182e-05,2.83330e-05,1.60830e-05,1.00803e-05,6.80367e-06,4.22806e-06,2.47169e-06,1.58653e-06,1.09564e-06,6.83004e-07,4.11323e-07,2.70148e-07,1.88635e-07,1.19401e-07,7.21100e-08,4.73179e-08,3.29525e-08
1.62934e-03,8.50492e-04,5.12368e-04,3.34580e-04,2.01901e-04,1.13624e-04,7.04494e-05,4.69033e-05,2.85086e-05,1.60210e-05,9.91239e-06,6.59621e-06,4.01536e-06,2.28622e-06,1.43506e-06,9.73894e-07,5.95829e-07,3.53834e-07,2.30952e-07,1.61032e-07,1.02179e-07,6.21351e-08,4.10971e-08,2.88418e-08
1.62934e-03,8.50491e-04,5.12366e-04,3.34573e-04,2.01884e-04,1.13590e-04,7.04005e-05,4.68451e-05,2.84465e-05,1.59652e-05,9.86859e-06,6.56494e-06,3.99936e-06,2.28432e-06,1.44085e-06,9.83271e-07,6.06680e-07,3.63738e-07,2.39145e-07,1.67606e-07,1.06864e-07,6.51817e-08,4.31532e-08,3.02806e-08
1.88252e-03,9.67666e-04,5.76179e-04,3.72717e-04,2.22688e-04,1.24134e-04,7.64531e-05,5.06462e-05,3.06092e-05,1.70961e-05,1.05285e-05,6.98303e-06,4.23904e-06,2.41117e-06,1.51496e-06,1.02993e-06,6.31792e-07,3.75980e-07,2.45489e-07,1.70996e-07,1.08183e-07,6.54632e-08,4.30855e-08,3.01020e-08
7.75380e-04,4.36567e-04,2.78846e-04,1.90450e-04,1.20239e-04,7.04805e-05,4.48925e-05,3.04739e-05,1.89253e-05,1.08965e-05,6.88819e-06,4.67663e-06,2.92606e-06,1.72584e-06,1.11816e-06,7.79558e-07,4.92993e-07,3.02197e-07,2.01657e-07,1.42798e-07,9.20244e-08,5.66684e-08,3.77734e-08,2.66462e-08
2.09186e-03,1.19319e-03,7.65578e-04,5.24675e-04,3.32844e-04,1.96463e-04,1.25841e-04,8.56885e-05,5.32012e-05,3.03639e-05,1.88826e-05,1.25467e-05,7.56886e-06,4.22670e-06,2.59331e-06,1.71971e-06,1.01724e-06,5.80492e-07,3.66012e-07,2.47738e-07,1.51472e-07,8.85839e-08,5.68298e-08,3.89265e-08
1.65260e-03,8.58062e-04,5.10862e-04,3.28575e-04,1.93755e-04,1.05818e-04,6.39639e-05,4.17222e-05,2.47976e-05,1.36466e-05,8.34009e-06,5.51700e-06,3.35478e-06,1.92363e-06,1.22175e-06,8.39873e-07,5.23338e-07,3.16852e-07,2.09754e-07,1.47724e-07,9.46719e-08,5.80222e-08,3.85543e-08,2.71368e-08
1.62920e-03,8.50338e-04,5.12235e-04,3.34476e-04,2.01831e-04,1.13580e-04,7.04123e-05,4.68672e-05,2.84736e-05,1.59925e-05,9.89396e-06,6.58799e-06,4.01889e-06,2.29909e-06,1.45146e-06,9.90609e-07,6.10526e-07,3.64974e-07,2.39092e-07,1.66953e-07,1.05914e-07,6.42540e-08,4.23664e-08,2.96397e-08
1.62935e-03,8.50541e-04,5.12478e-04,3.34753e-04,2.02135e-04,1.13870e-04,7.06521e-05,4.70458e-05,2.85730e-05,1.60157e-05,9.87476e-06,6.54767e-06,3.96775e-06,2.24904e-06,1.40808e-06,9.54368e-07,5.83442e-07,3.46312e-07,2.25881e-07,1.57329e-07,9.96303e-08,6.04166e-08,3.98617e-08,2.79183e-08
1.62934e-03,8.50494e-04,5.12376e-04,3.34602e-04,2.01953e-04,1.13727e-04,7.05929e-05,4.70691e-05,2.86781e-05,1.61635e-05,1.00169e-05,6.66593e-06,4.04711e-06,2.28670e-06,1.42012e-06,9.52281e-07,5.71776e-07,3.31811e-07,2.12309e-07,1.45620e-07,9.06641e-08,5.41912e-08,3.54536e-08,2.47148e-08
1.62934e-03,8.50492e-04,5.12366e-04,3.34573e-04,2.01884e-04,1.13591e-04,7.04017e-05,4.68481e-05,2.84537e-05,1.59806e-05,9.89199e-06,6.59411e-06,4.03232e-06,2.31588e-06,1.46725e-06,1.00374e-06,6.19157e-07,3.68907e-07,2.39986e-07,1.66027e-07,1.03642e-07,6.14619e-08,3.96314e-08,2.71504e-08
9.90185e-04,5.59652e-04,3.53602e-04,2.37749e-04,1.46713e-04,8.37486e-05,5.22906e-05,3.49713e-05,2.13724e-05,1.20912e-05,7.52277e-06,5.02691e-06,3.07050e-06,1.74862e-06,1.09324e-06,7.36768e-07,4.44404e-07,2.58233e-07,1.64809e-07,1.12464e-07,6.93010e-08,4.07726e-08,2.62500e-08,1.80218e-08
1.62721e-03,8.74553e-04,5.31390e-04,3.46073e-04,2.06088e-04,1.13347e-04,6.88078e-05,4.50230e-05,2.68510e-05,1.48094e-05,9.03950e-06,5.95164e-06,3.57593e-06,2.00231e-06,1.23605e-06,8.24986e-07,4.92048e-07,2.82846e-07,1.79071e-07,1.21438e-07,7.42977e-08,4.34067e-08,2.77999e-08,1.90087e-08
